1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.818529	627.201626	0.008423	900.6
1	-0.885996	623.504937	0.009607	7.1
2	-0.000000	619.865785	0.000000	8.2
3	-0.000000	616.282728	0.000000	7.9
4	-0.023558	612.754375	0.001630	8.3
5	-0.604132	609.279381	0.007950	7.9
6	-0.798991	605.856447	0.007403	8.5
7	-0.067269	602.484317	0.002001	7.9
8	-0.769307	599.161779	0.009294	7.5
9	-0.495135	595.887656	0.008414	7.9
10	-0.369899	592.660813	0.008476	8.9
11	-0.092244	589.480151	0.007235	7.5
12	-0.580629	586.344606	0.009363	8.8
13	-0.000000	583.253145	0.000000	7.5
14	-0.000000	580.204771	0.000000	8.5
15	-0.770621	577.198517	0.004736	7.7
16	-1.063670	574.233444	0.010534	8.9
17	-0.447650	571.308645	0.007012	8.1
18	-0.376908	568.423237	0.004876	8.5
19	-0.003501	565.576365	0.001168	7.8
20	-0.000016	562.767201	0.000004	8.8
21	-0.000000	559.994938	0.000000	8.2
22	-0.550234	557.258797	0.005758	10.7
23	-0.711324	554.558018	0.009864	9.7
24	-0.706373	551.891865	0.011070	10.0
25	-0.527869	549.259621	0.008725	10.8
26	-0.938795	546.660592	0.007936	10.0
27	-0.555399	544.094102	0.008088	11.1
28	-0.674074	541.559494	0.007697	10.2
29	-0.357955	539.056129	0.005029	9.7
30	-0.939523	536.583387	0.011530	11.7
31	-0.280527	534.140663	0.004400	11.4
32	-0.954369	531.727370	0.013673	9.4
33	-0.540622	529.342935	0.007631	11.9
34	-0.666657	526.986802	0.006744	11.8
35	-0.730801	524.658430	0.008715	11.2
36	-0.000000	522.357290	0.000000	10.8
37	-0.748557	520.082868	0.009096	10.3
38	-1.022997	517.834665	0.011047	10.7
39	-0.922196	515.612193	0.007098	10.6
40	-0.178605	513.414976	0.005630	10.1
41	-0.787545	511.242551	0.009103	10.1
42	-0.439031	509.094468	0.005925	9.7
43	-0.000000	506.970285	0.000000	9.7
44	-0.839204	504.869574	0.006063	10.1
45	-0.892861	502.791916	0.006636	10.5
46	-0.191989	500.736903	0.004191	8.9
47	-0.000000	498.704137	0.000000	10.4
48	-0.864980	496.693228	0.011141	10.5
49	-0.974722	494.703798	0.009746	9.6
50	-0.087461	492.735476	0.004386	10.7
51	-0.951361	490.787900	0.011493	9.0
52	-0.960895	488.860718	0.010553	10.1
53	-0.180148	486.953585	0.003893	11.7
54	-0.481281	485.066164	0.006537	10.7
55	-0.000000	483.198126	0.000000	10.3
56	-0.942143	481.349149	0.008989	10.2
57	-0.598068	479.518920	0.011035	9.7
58	-0.268207	477.707132	0.006589	8.9
59	-0.625313	475.913485	0.006286	8.4
60	-0.417119	474.137684	0.006724	9.5
61	-0.000000	472.379445	0.000000	8.3
62	-0.952684	470.638485	0.009388	9.2
63	-0.699058	468.914531	0.008287	8.5
64	-0.003540	467.207315	0.000199	9.7
65	-0.404654	465.516573	0.005650	9.2
66	-0.083353	463.842050	0.002392	10.2
