1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.635906	0.000000	21.301468	0.009324	877.2
1	-0.638624	0.000000	21.301468	0.015322	2.2
2	-0.618491	0.000000	21.301468	0.015205	2.2
3	-0.626831	0.000000	21.301468	0.011351	2.1
4	-0.642690	0.000000	21.301468	0.011320	2.4
5	-0.656720	0.000000	21.301468	0.014439	3.1
6	-0.644485	0.999451	20.333727	0.008601	2.4
7	-0.634778	1.999312	19.449748	0.011785	2.4
8	-0.663455	2.999312	18.639319	0.010702	2.7
9	-0.635751	2.519405	19.019649	0.006936	2.6
10	-0.638772	2.074085	19.386721	0.012337	2.8
11	-0.610622	1.594177	19.798501	0.007003	2.2
12	-0.607740	1.114270	20.228153	0.009504	2.1
13	-0.642640	0.634387	20.676844	0.011104	2.1
14	-0.664250	0.154482	21.145913	0.014402	2.1
15	-0.653269	0.000000	21.301468	0.005784	2.1
16	-0.622216	0.000000	21.301468	0.010454	2.5
17	-0.643126	0.985695	20.346449	0.013395	2.6
18	-0.629872	1.985695	19.461270	0.010892	2.1
19	-0.605445	1.505788	19.876257	0.015053	2.3
20	-0.620098	2.505788	19.030667	0.011005	2.1
21	-0.645222	2.772964	18.816789	0.007178	2.1
22	-0.673569	2.308530	19.191722	0.008572	2.2
23	-0.660042	1.828634	19.595165	0.008066	2.3
24	-0.644737	1.348726	20.015943	0.011391	2.4
25	-0.626956	0.868844	20.455166	0.007834	2.1
26	-0.648393	0.388937	20.914122	0.008832	2.1
27	-0.616080	0.363311	20.939209	0.006048	2.1
28	-0.658567	0.373154	20.929566	0.009226	2.1
29	-0.650987	0.000000	21.301468	0.017737	2.1
30	-0.646558	0.000000	21.301468	0.009703	2.2
31	-0.665410	0.000000	21.301468	0.009695	2.9
32	-0.642013	0.000000	21.301468	0.013248	2.1
33	-0.629771	0.000000	21.301468	0.007603	2.0
34	-0.654107	0.000000	21.301468	0.011621	2.1
35	-0.643689	0.000000	21.301468	0.012901	2.0
36	-0.639752	0.000000	21.301468	0.012343	2.2
37	-0.639245	0.000000	21.301468	0.010220	2.1
38	-0.635634	1.000000	20.333220	0.007749	3.0
39	-0.655805	1.544190	19.842400	0.011711	2.8
40	-0.653453	1.462474	19.914584	0.013039	2.4
41	-0.640800	2.462364	19.065889	0.008262	2.2
42	-0.633807	2.692779	18.880472	0.009299	2.0
43	-0.654233	2.212871	19.270810	0.014202	2.0
44	-0.662770	3.212871	18.474919	0.011902	2.2
45	-0.652782	4.212871	17.742161	0.013270	2.6
46	-0.661426	5.212871	17.065312	0.013764	2.4
47	-0.673698	6.212871	16.438208	0.008287	2.1
48	-0.655632	7.212871	15.855559	0.012792	2.1
49	-0.643446	6.732969	16.129930	0.010654	2.1
50	-0.624391	7.732965	15.568558	0.007500	2.1
51	-0.667335	8.616109	15.104308	0.008978	2.1
52	-0.669793	8.136202	15.353094	0.012456	3.4
53	-0.635938	7.656336	15.610189	0.013519	2.7
54	-0.634696	8.481698	15.173171	0.009947	2.4
55	-0.634254	9.481683	14.675398	0.012802	2.3
56	-0.646721	9.004097	14.908992	0.010768	2.1
57	-0.653427	8.524190	15.151333	0.009756	2.1
58	-0.632920	8.930028	14.945887	0.007105	3.0
59	-0.644050	8.450121	15.189440	0.009245	2.1
60	-0.642427	9.450120	14.690610	0.008820	2.1
61	-0.642585	8.970215	14.925847	0.007730	2.0
62	-0.624762	8.494871	15.166394	0.008852	2.1
63	-0.640767	8.015029	15.417211	0.009660	2.1
64	-0.624343	7.535147	15.676486	0.010328	2.0
65	-0.645038	7.056142	15.944132	0.011191	2.7
66	-0.632739	8.056142	15.395397	0.009390	2.6
67	-0.615471	8.251280	15.292693	0.012092	2.9
68	-0.668490	8.626881	15.098816	0.006639	2.9
69	-0.621338	9.626881	14.605824	0.010786	2.7
70	-0.643188	9.178117	14.823020	0.012586	2.5
71	-0.674946	10.178117	14.347590	0.010804	3.3
72	-0.629162	9.718599	14.562215	0.012472	2.5
73	-0.672906	9.238702	14.793321	0.010632	2.7
74	-0.657301	10.078370	14.393639	0.011835	2.2
75	-0.633434	11.078339	13.944950	0.012285	2.1
76	-0.652390	11.011164	13.974213	0.014172	2.1
77	-0.669873	11.226618	13.880788	0.007481	2.5
78	-0.656103	10.903907	14.021193	0.009144	2.6
79	-0.659307	10.425039	14.234854	0.010433	2.4
80	-0.685082	9.945391	14.455491	0.008716	2.1
81	-0.660685	9.526303	14.653947	0.012366	2.1
82	-0.659915	10.521495	14.191295	0.008349	2.0
83	-0.639383	11.521495	13.754928	0.010907	2.1
84	-0.660648	11.217594	13.884676	0.009508	2.5
85	-0.650635	10.740269	14.093480	0.013260	2.9
86	-0.645698	10.711073	14.106455	0.006770	2.2
87	-0.627747	11.671735	13.691677	0.007580	2.5
88	-0.609822	11.704188	13.678090	0.010679	2.2
89	-0.616603	11.224370	13.881756	0.011901	2.3
90	-0.651064	12.224262	13.463981	0.012707	2.4
91	-0.680098	11.744355	13.661312	0.010238	3.5
92	-0.664619	11.264533	13.864476	0.012554	2.4
93	-0.644171	12.264533	13.447681	0.007761	2.1
94	-0.631442	13.264427	13.055255	0.009448	2.2
95	-0.666155	14.264427	12.685045	0.013702	2.3
96	-0.658745	13.784520	12.860055	0.008942	2.3
97	-0.670828	14.781449	12.501753	0.013136	2.8
98	-0.648784	14.301542	12.671708	0.013976	2.3
99	-0.662871	15.301501	12.322654	0.008986	2.2
100	-0.640630	14.821593	12.487742	0.010539	2.1
101	-0.618550	15.790851	12.158752	0.011806	2.1
102	-0.651404	16.790851	11.837014	0.008112	2.1
103	-0.649969	16.475657	11.936571	0.011604	2.3
104	-0.670347	16.000070	12.090000	0.007741	2.8
105	-0.654385	15.520411	12.248790	0.009608	2.6
106	-0.645768	16.520311	11.922365	0.008991	2.3
107	-0.628138	16.391697	11.963374	0.013734	2.3
108	-0.663206	17.391697	11.651760	0.013073	2.3
109	-0.639594	17.922154	11.492962	0.008549	2.5
