1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	965.0
1	-0.911372	623.504937	0.006830	28.3
2	-0.697328	619.865785	0.005493	28.9
3	-0.323263	616.282728	0.004016	35.6
4	-0.383021	612.754375	0.005239	30.9
5	-0.000000	609.279381	0.000000	30.9
6	-0.000000	605.856447	0.000000	34.8
7	-0.623821	602.484317	0.004850	31.4
8	-0.537923	599.161779	0.005391	33.0
9	-0.000017	595.887656	0.000009	33.4
10	-0.791899	592.660813	0.007170	32.4
11	-0.000000	589.480151	0.000000	34.6
12	-0.476132	586.344606	0.004135	35.5
13	-0.000000	583.253145	0.000000	35.2
14	-0.652544	580.204771	0.006700	32.0
15	-0.269485	577.198517	0.005227	34.5
16	-0.297135	574.233444	0.003505	32.9
17	-0.488224	571.308645	0.005847	31.3
18	-0.001289	568.423237	0.000054	34.0
19	-0.623768	565.576365	0.004580	36.3
20	-0.000000	562.767201	0.000000	31.2
21	-0.870719	559.994938	0.005384	33.5
22	-0.738366	557.258797	0.005063	32.6
23	-0.866914	554.558018	0.005397	31.9
24	-0.579559	551.891865	0.004522	31.4
25	-0.754178	549.259621	0.006265	31.7
26	-0.574259	546.660592	0.005984	31.5
27	-0.000000	544.094102	0.000000	31.1
28	-0.403516	541.559494	0.004918	31.0
29	-0.123877	539.056129	0.002605	31.4
30	-0.243037	536.583387	0.004881	30.2
31	-0.663111	534.140663	0.006836	30.9
32	-0.028213	531.727370	0.001863	32.1
33	-0.051771	529.342935	0.001021	31.6
34	-0.426819	526.986802	0.005818	31.5
35	-0.724902	524.658430	0.005421	31.5
36	-0.002768	522.357290	0.000324	32.5
37	-0.496424	520.082868	0.004797	30.9
38	-0.393317	517.834665	0.003717	31.6
39	-0.997668	515.612193	0.006579	30.4
40	-0.888632	513.414976	0.006284	31.7
41	-0.441085	511.242551	0.007989	31.4
42	-0.448484	509.094468	0.006207	31.2
43	-0.000328	506.970285	0.000053	32.1
44	-0.671127	504.869574	0.007427	31.4
45	-0.595208	502.791916	0.005612	32.4
46	-0.650881	500.736903	0.005911	33.1
47	-0.000000	498.704137	0.000000	30.6
48	-0.448166	496.693228	0.007278	31.2
49	-0.523486	494.703798	0.003239	30.4
50	-0.000000	492.735476	0.000000	31.6
51	-0.000003	490.787900	0.000004	31.1
52	-0.084121	488.860718	0.001202	30.8
53	-0.466284	486.953585	0.005288	31.2
54	-0.737353	485.066164	0.008072	32.0
55	-0.711839	483.198126	0.004602	30.5
56	-0.000000	481.349149	0.000000	31.4
57	-0.000000	479.518920	0.000000	31.7
58	-0.000000	477.707132	0.000000	30.9
59	-0.281063	475.913485	0.004586	31.9
60	-0.000000	474.137684	0.000000	31.4
61	-0.000041	472.379445	0.000040	30.5
62	-0.483305	470.638485	0.005944	31.1
63	-0.000000	468.914531	0.000000	31.4
64	-0.600403	467.207315	0.005698	31.4
65	-0.861666	465.516573	0.008372	32.5
66	-0.691977	463.842050	0.005299	29.6
