1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.724337	627.201626	0.019029	912.9
1	-1.084531	623.504937	0.018339	5.0
2	-1.154710	619.865785	0.029156	5.8
3	-0.603191	616.282728	0.048877	5.0
4	0.000000	612.754375	0.000000	4.7
5	-0.387831	609.279381	0.008266	5.7
6	-0.735824	605.856447	0.012458	5.0
7	0.000000	602.484317	0.000000	5.5
8	-0.000000	599.161779	0.000000	5.9
9	-0.513083	595.887656	0.025776	5.2
10	-0.000000	592.660813	0.000000	5.1
11	-0.492760	589.480151	0.010857	6.5
12	-0.762120	586.344606	0.013089	5.5
13	-0.253341	583.253145	0.002023	5.7
14	-0.000000	580.204771	0.000000	6.6
15	-0.754129	577.198517	0.016441	5.2
16	-0.950864	574.233444	0.028240	5.9
17	-0.873631	571.308645	0.024657	5.4
18	-0.917886	568.423237	0.030000	5.4
19	-0.485010	565.576365	0.015110	5.9
20	0.000000	562.767201	0.000000	5.7
21	-0.953388	559.994938	0.011487	5.5
22	-0.447472	557.258797	0.011699	6.0
23	-0.036222	554.558018	0.000858	5.4
24	-1.057807	551.891865	0.011081	5.4
25	-0.984129	549.259621	0.016614	6.4
26	-0.663303	546.660592	0.024788	5.6
27	-0.746518	544.094102	0.008427	5.4
28	-0.537479	541.559494	0.004665	6.2
29	-0.335428	539.056129	0.010089	5.5
30	-0.000000	536.583387	0.000000	5.6
31	-0.676452	534.140663	0.016113	6.3
32	0.000000	531.727370	0.000000	6.8
33	-0.101169	529.342935	0.003888	6.4
34	-1.023761	526.986802	0.008865	6.8
35	-0.225783	524.658430	0.006449	6.1
36	-0.182916	522.357290	0.006846	6.5
37	0.000000	520.082868	0.000000	5.9
38	-0.012418	517.834665	0.000862	5.8
39	-0.958272	515.612193	0.012485	6.4
40	-0.621928	513.414976	0.013386	5.9
41	-0.317369	511.242551	0.006029	6.7
42	-1.020772	509.094468	0.019956	5.8
43	-0.898503	506.970285	0.019714	5.9
44	0.000000	504.869574	0.000000	6.4
45	-0.489059	502.791916	0.017384	5.7
46	-0.315932	500.736903	0.005499	5.5
47	-0.904541	498.704137	0.028588	6.9
48	-0.125655	496.693228	0.006238	6.6
49	-0.000000	494.703798	0.000000	7.8
50	0.000000	492.735476	0.000000	7.7
51	0.000000	490.787900	0.000000	7.4
52	-0.617983	488.860718	0.034311	7.7
53	-0.290041	486.953585	0.007970	8.5
54	-0.867938	485.066164	0.013773	8.1
55	-0.250265	483.198126	0.005267	7.5
56	-0.866673	481.349149	0.011007	6.7
57	-0.211184	479.518920	0.008136	6.5
58	-0.834005	477.707132	0.032116	8.3
59	-0.506676	475.913485	0.004874	8.0
60	-0.941338	474.137684	0.016751	7.6
61	-0.605012	472.379445	0.011291	7.0
62	-0.000000	470.638485	0.000000	8.8
63	-0.287972	468.914531	0.005608	7.6
64	-0.532686	467.207315	0.011051	8.6
65	-0.832595	465.516573	0.027521	6.8
66	0.000000	463.842050	0.000000	8.6
67	-0.861903	462.183494	0.010637	7.0
68	-0.634685	460.540658	0.010352	7.8
69	-0.634485	458.913303	0.009934	7.1
70	-0.476675	457.301192	0.011733	7.2
71	-0.286632	455.704096	0.004066	7.2
72	0.000000	454.121787	0.000000	7.5
