1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.439528	0.000000	23.883456	0.010822	116.4
1	-0.428890	0.000000	23.883456	0.017492	2.1
2	-0.475871	0.000000	23.883456	0.014854	2.1
3	-0.470014	0.000000	23.883456	0.015153	2.1
4	-0.473996	0.000000	23.883456	0.014676	2.4
5	-0.464672	0.000000	23.883456	0.013243	2.8
6	-0.463556	0.000000	23.883456	0.012162	2.4
7	-0.456891	0.000000	23.883456	0.016110	2.3
8	-0.485925	0.000000	23.883456	0.014020	2.4
9	-0.482832	0.000000	23.883456	0.010966	2.3
10	-0.448336	0.000000	23.883456	0.014310	2.4
11	-0.480601	0.000000	23.883456	0.015295	2.8
12	-0.514399	0.000000	23.883456	0.012052	2.5
13	-0.472966	0.000000	23.883456	0.014403	2.4
14	-0.515851	0.000000	23.883456	0.015305	2.1
15	-0.504321	0.000000	23.883456	0.015235	2.4
16	-0.499865	0.000000	23.883456	0.015246	3.2
17	-0.516648	0.000000	23.883456	0.014913	2.5
18	-0.492718	0.000000	23.883456	0.012469	2.2
19	-0.516161	0.000000	23.883456	0.013556	2.1
20	-0.538734	0.000000	23.883456	0.015463	2.1
21	-0.518077	0.000000	23.883456	0.016653	2.1
22	-0.516915	0.000000	23.883456	0.015579	2.1
23	-0.527580	0.000000	23.883456	0.013945	3.1
24	-0.551449	0.000000	23.883456	0.012828	2.4
25	-0.567191	0.000000	23.883456	0.010871	2.3
26	-0.564905	0.000000	23.883456	0.015783	2.1
27	-0.565271	0.000000	23.883456	0.017583	2.1
28	-0.572335	0.000000	23.883456	0.015239	2.1
29	-0.569617	0.000000	23.883456	0.019275	2.1
30	-0.572816	0.000000	23.883456	0.014527	2.8
31	-0.570370	0.000000	23.883456	0.013240	2.1
32	-0.596514	0.000000	23.883456	0.015361	2.2
33	-0.596865	0.000000	23.883456	0.016845	2.1
34	-0.582010	0.000000	23.883456	0.019455	2.1
35	-0.596072	0.000000	23.883456	0.019800	2.0
36	-0.622599	0.000000	23.883456	0.014892	2.1
37	-0.624694	0.000000	23.883456	0.016851	2.7
38	-0.618332	0.000000	23.883456	0.016234	2.2
39	-0.604609	0.000000	23.883456	0.014912	2.1
40	-0.614586	0.000000	23.883456	0.014925	2.3
41	-0.664021	0.000000	23.883456	0.017602	2.2
42	-0.663767	0.000000	23.883456	0.016454	2.1
43	-0.638064	0.000000	23.883456	0.015741	2.3
44	-0.657008	0.000000	23.883456	0.020768	3.0
45	-0.631004	0.000000	23.883456	0.017058	2.4
46	-0.648885	0.000000	23.883456	0.017640	2.5
47	-0.701781	0.000000	23.883456	0.019405	2.1
48	-0.688415	0.000000	23.883456	0.020748	2.2
49	-0.688279	0.000000	23.883456	0.018829	2.1
50	-0.697853	0.000000	23.883456	0.016009	2.6
51	-0.705604	0.000000	23.883456	0.016167	2.6
52	-0.713695	0.000000	23.883456	0.015171	2.4
53	-0.682084	0.000000	23.883456	0.019020	2.3
54	-0.724250	0.000000	23.883456	0.018195	2.1
55	-0.729925	0.000000	23.883456	0.014471	2.1
56	-0.707807	0.000000	23.883456	0.017286	2.4
57	-0.730267	0.000000	23.883456	0.017777	3.1
58	-0.720105	0.000000	23.883456	0.017366	2.3
59	-0.756379	0.000000	23.883456	0.017868	2.1
60	-0.746619	0.000000	23.883456	0.016023	2.0
61	-0.763645	0.000000	23.883456	0.015191	2.0
62	-0.772785	0.000000	23.883456	0.015684	2.0
63	-0.742988	0.000000	23.883456	0.014771	2.0
64	-0.768509	0.000000	23.883456	0.012886	2.6
65	-0.782447	0.000000	23.883456	0.012649	2.1
66	-0.745301	0.000000	23.883456	0.014823	2.0
67	-0.754599	0.000000	23.883456	0.012357	2.0
68	-0.770244	0.000000	23.883456	0.013686	2.1
69	-0.768865	0.000000	23.883456	0.010312	2.0
70	-0.781993	0.000000	23.883456	0.010845	2.3
71	-0.789957	0.000000	23.883456	0.012326	2.6
72	-0.798856	0.000000	23.883456	0.012320	2.5
73	-0.760511	0.000000	23.883456	0.010063	2.0
74	-0.802462	0.000000	23.883456	0.010157	2.0
75	-0.779912	0.000000	23.883456	0.011879	2.1
76	-0.746576	0.000000	23.883456	0.006185	2.2
77	-0.820949	0.000000	23.883456	0.013487	2.2
78	-0.776809	0.000000	23.883456	0.010624	2.1
79	-0.771593	0.000000	23.883456	0.011036	2.5
80	-0.812465	0.000000	23.883456	0.010623	2.1
81	-0.777259	0.000000	23.883456	0.008770	2.0
82	-0.792461	1.000000	22.797844	0.007703	2.0
83	-0.791224	0.856478	22.947547	0.009532	2.0
84	-0.764696	0.712957	23.099230	0.011959	2.0
85	-0.766517	0.569435	23.252930	0.009325	2.1
86	-0.807294	0.434408	23.399413	0.013499	2.7
87	-0.788987	0.290887	23.557148	0.010352	2.0
88	-0.776115	0.147376	23.717012	0.008573	2.2
89	-0.750717	0.003854	23.879073	0.010401	2.0
90	-0.758900	1.003854	22.793851	0.008912	2.0
91	-0.807650	1.935403	21.868051	0.013672	2.3
92	-0.805499	1.791881	22.005756	0.006528	2.0
93	-0.791899	1.648359	22.145205	0.011545	2.5
94	-0.784349	2.648359	21.208768	0.010154	3.4
95	-0.770456	2.504966	21.338153	0.013556	2.7
96	-0.792432	2.368698	21.462581	0.008826	2.1
97	-0.787031	3.368698	20.581837	0.011751	2.0
98	-0.802438	3.614595	20.376227	0.006934	2.0
99	-0.790595	3.471073	20.495733	0.008104	2.0
100	-0.780033	3.327551	20.616648	0.010037	2.5
101	-0.803748	3.184052	20.738980	0.008888	2.0
102	-0.807728	4.184052	19.915483	0.008414	2.0
103	-0.853387	4.040530	20.029630	0.010009	2.0
104	-0.741756	3.897009	20.145094	0.002964	2.0
105	-0.773272	3.759435	20.257028	0.007121	2.1
106	-0.789959	3.617130	20.374129	0.008552	2.0
107	-0.778680	3.476540	20.491155	0.007903	2.4
108	-0.778124	3.946282	20.105304	0.012856	2.3
109	-0.800097	4.946282	19.330422	0.006481	2.3
110	-0.802094	4.802760	19.437943	0.006724	2.1
111	-0.774144	5.732999	18.761553	0.006772	2.0
112	-0.823551	5.589477	18.862822	0.012483	2.0
113	-0.787577	5.540352	18.897736	0.011281	2.0
114	-0.792072	6.540352	18.211553	0.012082	2.0
115	-0.787738	7.540352	17.573454	0.007831	2.7
116	-0.785990	8.416489	17.050049	0.005885	2.4
117	-0.833720	9.416489	16.489496	0.010283	2.1
118	-0.820634	9.273414	16.567427	0.007179	2.0
119	-0.816269	9.994768	16.181846	0.006050	2.0
120	-0.795662	9.900313	16.231310	0.008388	2.2
121	-0.789223	10.515997	15.914222	0.009715	2.0
122	-0.820023	10.372476	15.987025	0.009650	2.7
123	-0.836395	10.229000	16.060475	0.011507	2.1
124	-0.816302	11.229000	15.562151	0.006113	2.1
125	-0.807730	11.085478	15.631762	0.008147	2.0
126	-0.820420	12.085472	15.159299	0.007963	2.0
127	-0.811243	11.941951	15.225345	0.011205	2.0
128	-0.802061	12.941951	14.776775	0.009891	2.0
129	-0.800378	13.941951	14.353880	0.006097	2.4
130	-0.800171	14.941747	13.954596	0.009284	2.3
131	-0.798485	14.798226	14.010542	0.008675	2.0
132	-0.801273	15.798225	13.629803	0.008973	2.0
133	-0.788090	15.654704	13.683171	0.009007	2.0
134	-0.782089	15.511182	13.736958	0.013095	2.0
135	-0.821308	16.511182	13.370748	0.010600	2.0
136	-0.795804	17.511182	13.023557	0.007791	2.2
137	-0.780213	17.367660	13.072274	0.011239	2.9
138	-0.820786	18.367659	12.740218	0.005958	2.5
139	-0.809365	18.224137	12.786835	0.006151	2.5
140	-0.793391	19.223721	12.469074	0.007416	2.0
141	-0.783424	20.223633	12.166627	0.010315	2.0
142	-0.808623	20.080111	12.209134	0.005101	2.0
143	-0.824598	20.282481	12.149284	0.005340	2.3
144	-0.788889	21.281748	11.862153	0.010213	2.8
145	-0.795580	22.281748	11.588085	0.005731	2.2
146	-0.811950	22.138226	11.626639	0.010352	2.0
147	-0.831259	21.994705	11.665450	0.011366	2.2
148	-0.795262	22.994705	11.400294	0.010594	2.3
149	-0.830785	23.994705	11.146924	0.009335	2.3
150	-0.849618	23.851183	11.182594	0.010151	2.0
151	-0.860521	24.851183	10.938705	0.007487	2.6
152	-0.792496	25.851165	10.705232	0.008626	2.1
153	-0.806671	26.851165	10.481512	0.006839	2.0
154	-0.805982	27.753492	10.287521	0.006410	2.0
155	-0.832087	28.753492	10.080751	0.008471	2.0
156	-0.772321	29.753490	9.882130	0.009192	2.0
157	-0.774211	30.748647	9.692090	0.006446	2.0
158	-0.816067	31.731417	9.511456	0.008651	2.6
159	-0.812937	32.731417	9.334438	0.006330	2.3
160	-0.775463	33.564623	9.191900	0.009007	2.2
161	-0.859616	33.421101	9.216142	0.003849	2.5
162	-0.802431	33.277579	9.240511	0.007482	2.3
163	-0.808866	33.134143	9.264995	0.017724	2.3
164	-0.813726	34.134143	9.096950	0.006298	2.2
165	-0.832329	35.134143	8.934893	0.008755	2.9
166	-0.794691	34.990621	8.957796	0.009755	2.3
167	-0.790396	34.847100	8.980817	0.010275	2.2
168	-0.785630	35.847100	8.822835	0.008200	1.9
169	-0.787182	36.847100	8.670315	0.007541	2.0
170	-0.784052	37.847100	8.522979	0.006026	2.0
171	-0.805911	38.847047	8.380573	0.010234	2.1
172	-0.820730	38.703610	8.400708	0.010771	2.6
173	-0.770517	39.703610	8.262319	0.009515	2.1
174	-0.801195	40.703610	8.128415	0.006612	2.0
175	-0.839843	41.703610	7.998783	0.005768	2.0
176	-0.781245	42.703610	7.873220	0.010058	2.2
177	-0.806598	43.703610	7.751539	0.008548	2.3
178	-0.800676	44.703610	7.633562	0.009850	2.3
179	-0.813383	44.560089	7.650273	0.013987	3.1
180	-0.786066	45.560089	7.535335	0.007660	2.7
181	-0.788975	45.416567	7.551618	0.006298	2.3
182	-0.789410	45.273045	7.567972	0.009260	2.1
183	-0.816442	45.129523	7.584397	0.011040	2.0
184	-0.807164	45.125301	7.584881	0.011392	2.0
185	-0.773407	44.981779	7.601380	0.007948	2.1
186	-0.766851	45.975477	7.488600	0.008829	2.7
187	-0.800514	46.975477	7.378434	0.007232	2.0
188	-0.761828	47.975477	7.271462	0.005154	2.0
189	-0.806073	47.831969	7.286622	0.009823	2.0
190	-0.829415	47.692741	7.301391	0.009484	2.0
191	-0.816772	47.549219	7.316678	0.008194	2.4
192	-0.808614	47.405698	7.332029	0.008431	2.3
193	-0.774507	48.405698	7.226389	0.008760	2.7
194	-0.791449	49.405698	7.123750	0.008277	2.1
195	-0.825177	50.405698	7.023985	0.007626	2.1
