1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	768.7
1	-0.965364	623.504937	0.007365	27.4
2	-0.793576	619.865785	0.005953	27.1
3	-0.338921	616.282728	0.005206	28.0
4	-0.401352	612.754375	0.006358	27.1
5	-0.000000	609.279381	0.000000	26.9
6	-0.000000	605.856447	0.000000	29.2
7	-0.730791	602.484317	0.005768	29.0
8	-0.576806	599.161779	0.005403	28.7
9	-0.000041	595.887656	0.000032	29.5
10	-0.876883	592.660813	0.008708	29.0
11	0.000000	589.480151	0.000000	29.3
12	-0.531119	586.344606	0.006584	28.6
13	-0.000000	583.253145	0.000000	29.8
14	-0.700245	580.204771	0.006324	29.1
15	-0.274613	577.198517	0.004936	28.7
16	-0.326468	574.233444	0.003824	29.1
17	-0.524726	571.308645	0.007077	31.2
18	-0.001803	568.423237	0.000054	29.3
19	-0.722950	565.576365	0.006915	28.6
20	-0.000000	562.767201	0.000000	29.9
21	-0.854399	559.994938	0.005251	29.6
22	-0.770181	557.258797	0.005948	29.6
23	-0.863718	554.558018	0.006857	29.1
24	-0.608058	551.891865	0.005883	30.0
25	-0.871458	549.259621	0.007639	29.1
26	-0.586975	546.660592	0.007422	29.4
27	0.000000	544.094102	0.000000	30.8
28	-0.465117	541.559494	0.005677	31.0
29	-0.149599	539.056129	0.002935	29.3
30	-0.287960	536.583387	0.004457	28.8
31	-0.659048	534.140663	0.007036	29.5
32	-0.032609	531.727370	0.004038	29.8
33	-0.062307	529.342935	0.001139	29.9
34	-0.453676	526.986802	0.005195	29.2
35	-0.748023	524.658430	0.006090	29.1
36	-0.005262	522.357290	0.000211	30.8
37	-0.544297	520.082868	0.005931	29.7
38	-0.433169	517.834665	0.005104	29.8
39	-1.114224	515.612193	0.009352	30.5
40	-0.959017	513.414976	0.007531	28.1
41	-0.433390	511.242551	0.007606	30.4
42	-0.443187	509.094468	0.005082	29.5
43	-0.000098	506.970285	0.000052	29.7
44	-0.722820	504.869574	0.007204	29.7
45	-0.707398	502.791916	0.007432	29.7
46	-0.734732	500.736903	0.006060	28.8
47	-0.000000	498.704137	0.000000	29.7
48	-0.523448	496.693228	0.006660	29.7
49	-0.540669	494.703798	0.004990	29.4
50	0.000000	492.735476	0.000000	30.5
51	-0.000573	490.787900	0.000186	30.7
52	-0.106002	488.860718	0.001380	29.4
53	-0.449470	486.953585	0.005819	30.0
54	-0.839243	485.066164	0.007830	30.8
55	-0.726193	483.198126	0.005092	29.9
56	-0.000000	481.349149	0.000000	29.6
57	0.000000	479.518920	0.000000	29.5
58	0.000000	477.707132	0.000000	29.0
59	-0.383345	475.913485	0.005431	29.6
60	-0.000000	474.137684	0.000000	30.5
61	-0.000062	472.379445	0.000083	30.3
62	-0.518502	470.638485	0.005684	30.3
63	-0.000000	468.914531	0.000000	29.6
64	-0.577180	467.207315	0.006492	30.0
65	-0.962476	465.516573	0.008956	31.0
66	-0.730162	463.842050	0.005374	29.8
67	-0.778122	462.183494	0.007541	29.1
68	-0.824128	460.540658	0.007440	29.3
69	-0.009127	458.913303	0.000271	30.8
70	-0.573363	457.301192	0.005306	28.7
71	-0.725343	455.704096	0.006692	30.3
72	-0.891945	454.121787	0.008203	30.0
73	-0.161308	452.554045	0.002607	29.0
74	-0.682819	451.000653	0.007077	28.7
75	-0.564811	449.461399	0.006338	30.1
76	-0.157796	447.936075	0.001790	29.7
77	-0.000000	446.424477	0.000000	30.2
78	-0.125357	444.926406	0.001488	29.6
79	-0.029065	443.441666	0.001147	30.1
80	-0.000000	441.970065	0.000000	30.1
81	-0.000000	440.511415	0.000000	30.7
82	-0.234849	439.065533	0.002402	30.6
83	-0.362915	437.632238	0.004398	30.3
84	-0.858366	436.211351	0.007095	30.0
85	-0.000000	434.802701	0.000000	29.8
86	-0.204095	433.406117	0.002660	29.9
87	-0.411619	432.021430	0.005474	30.1
88	0.000000	430.648479	0.000000	30.0
89	-0.019822	429.287101	0.001027	30.1
90	-0.483063	427.937140	0.006911	30.0
91	-0.870452	426.598440	0.007611	30.1
92	-0.796383	425.270849	0.006474	30.7
93	-0.000000	423.954220	0.000000	30.8
94	0.000000	422.648404	0.000000	30.3
95	-0.668599	421.353259	0.007248	31.6
96	-0.340579	420.068643	0.007149	30.2
97	-0.052599	418.794419	0.001009	30.5
98	-0.326187	417.530451	0.004660	31.0
99	-0.059710	416.276604	0.001160	30.5
100	-0.000003	415.032748	0.000003	29.6
101	-0.521895	413.798754	0.006264	29.8
102	-0.366803	412.574495	0.006749	29.6
103	-0.872822	411.359849	0.005655	29.9
104	-0.535446	410.154691	0.005328	29.3
105	-0.913828	408.958904	0.006816	29.8
106	-0.025609	407.772368	0.001347	30.8
107	-0.863143	406.594968	0.007707	30.2
108	-0.558577	405.426590	0.007308	29.4
109	-0.000000	404.267122	0.000000	30.1
110	-0.000000	403.116456	0.000000	30.3
111	-0.456327	401.974481	0.005761	29.5
112	-0.425181	400.841093	0.004980	30.4
113	-0.686177	399.716187	0.005359	31.0
114	-0.348666	398.599660	0.003137	29.6
115	-0.945209	397.491411	0.008017	29.5
116	-0.251589	396.391342	0.003486	29.3
117	-0.000000	395.299353	0.000000	30.8
118	0.000000	394.215350	0.000000	29.9
119	-0.191841	393.139238	0.005008	28.6
120	-0.816374	392.070924	0.006009	30.5
121	-0.129630	391.010316	0.002402	29.5
122	-0.923993	389.957325	0.006521	28.8
123	0.000000	388.911862	0.000000	30.2
124	0.000000	387.873839	0.000000	30.8
125	-0.000000	386.843173	0.000000	29.9
126	0.000000	385.819777	0.000000	29.6
127	-0.187516	384.803569	0.003721	28.9
128	-0.574838	383.794468	0.007357	31.1
129	-0.763326	382.792393	0.005157	31.0
