1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.114496	627.201626	0.001153	682.3
1	-0.688640	623.504937	0.016718	4.2
2	-0.000000	619.865785	0.000000	4.6
3	-0.520607	616.282728	0.015597	4.2
4	-0.000000	612.754375	0.000000	4.1
5	-0.020856	609.279381	0.001157	4.8
6	-0.877570	605.856447	0.009385	3.8
7	-0.688892	602.484317	0.017023	3.9
8	-0.279491	599.161779	0.001096	4.3
9	-0.000000	595.887656	0.000000	4.0
10	-0.382720	592.660813	0.008381	3.8
11	-0.007186	589.480151	0.001018	4.2
12	-0.878385	586.344606	0.009159	4.0
13	-0.520310	583.253145	0.010196	5.0
14	-0.609747	580.204771	0.007372	4.0
15	0.000000	577.198517	0.000000	4.0
16	-0.667392	574.233444	0.006013	5.2
17	-0.527884	571.308645	0.007500	4.0
18	-0.000000	568.423237	0.000000	4.1
19	-0.502831	565.576365	0.011073	4.3
20	-0.007970	562.767201	0.001578	5.0
21	-0.004442	559.994938	0.000557	4.0
22	-0.951866	557.258797	0.007788	4.4
23	-1.032803	554.558018	0.006197	4.7
24	-0.598714	551.891865	0.006663	4.3
25	-0.683079	549.259621	0.009167	4.0
26	-0.570455	546.660592	0.009491	4.5
27	-0.796033	544.094102	0.007456	5.2
28	-0.033584	541.559494	0.001854	5.1
29	-0.001480	539.056129	0.000263	4.6
30	-0.923426	536.583387	0.008994	5.0
31	-0.581613	534.140663	0.009927	4.7
32	-0.257611	531.727370	0.005065	4.2
33	-0.970128	529.342935	0.014701	4.5
34	-0.921012	526.986802	0.020814	5.2
35	-0.766185	524.658430	0.010757	4.1
36	-0.591479	522.357290	0.013726	4.6
37	-0.576720	520.082868	0.007664	4.6
38	-0.685538	517.834665	0.006917	4.4
39	-0.000000	515.612193	0.000000	4.4
40	-0.977025	513.414976	0.015539	4.6
41	-0.753849	511.242551	0.009104	5.4
42	-1.019017	509.094468	0.010017	4.6
43	-0.731768	506.970285	0.010474	4.8
44	-0.120944	504.869574	0.003311	4.9
45	-0.871157	502.791916	0.007343	4.8
46	-0.055802	500.736903	0.002790	4.8
47	-0.581803	498.704137	0.009349	4.7
48	-0.828570	496.693228	0.012001	4.6
49	-0.920815	494.703798	0.006724	4.3
50	-0.000000	492.735476	0.000000	4.5
51	-0.732559	490.787900	0.011658	5.0
52	-0.578646	488.860718	0.013256	5.0
53	-0.611017	486.953585	0.003946	3.7
54	-0.550383	485.066164	0.009981	5.0
55	-0.466793	483.198126	0.007028	5.5
56	-0.506335	481.349149	0.006039	4.5
57	-0.653009	479.518920	0.011988	4.4
58	-0.299333	477.707132	0.002464	5.0
59	-0.778483	475.913485	0.009102	5.2
60	-0.000301	474.137684	0.000082	5.1
61	-1.049432	472.379445	0.008769	5.3
62	-0.000000	470.638485	0.000000	4.7
63	-0.896782	468.914531	0.005531	4.8
64	-1.137114	467.207315	0.010552	5.0
65	-0.493369	465.516573	0.012582	5.1
66	-0.000000	463.842050	0.000000	3.8
67	-0.598090	462.183494	0.004588	4.8
68	-0.980259	460.540658	0.030727	5.5
69	-0.000008	458.913303	0.000003	4.7
70	-1.003360	457.301192	0.011857	4.5
71	-0.473378	455.704096	0.013957	5.1
72	-0.855233	454.121787	0.014345	5.7
73	-0.000050	452.554045	0.000023	4.6
74	-0.000000	451.000653	0.000000	4.6
75	-0.860518	449.461399	0.008172	5.4
76	-0.000000	447.936075	0.000000	4.5
77	-0.401197	446.424477	0.007631	4.6
78	-0.000000	444.926406	0.000000	5.5
79	-0.283497	443.441666	0.004928	4.6
80	-0.836072	441.970065	0.009347	4.7
81	-0.213757	440.511415	0.006910	5.2
82	-0.628003	439.065533	0.008045	4.7
83	-0.000000	437.632238	0.000000	4.9
84	-0.659742	436.211351	0.006877	4.5
85	-0.280869	434.802701	0.006363	5.4
86	-0.307849	433.406117	0.006385	5.0
87	-0.571424	432.021430	0.009576	4.6
88	-0.673499	430.648479	0.008144	5.3
89	-0.000000	429.287101	0.000000	4.9
90	-0.785045	427.937140	0.011480	4.6
91	-0.542597	426.598440	0.007173	4.4
92	-0.793170	425.270849	0.010398	4.8
93	-1.044169	423.954220	0.009112	4.6
94	-0.631486	422.648404	0.009261	4.7
95	-0.456501	421.353259	0.006172	5.5
96	-0.528140	420.068643	0.009417	5.2
97	-0.505696	418.794419	0.009887	4.6
98	-0.085538	417.530451	0.002638	5.7
99	0.000000	416.276604	0.000000	4.6
100	-0.440748	415.032748	0.006270	4.0
101	-0.778251	413.798754	0.006696	5.1
102	-0.660654	412.574495	0.010914	5.2
103	-0.997428	411.359849	0.012685	4.7
104	-0.673854	410.154691	0.009337	4.5
105	-0.992428	408.958904	0.012746	5.3
106	-0.660322	407.772368	0.014983	4.6
107	-0.732599	406.594968	0.023999	4.8
108	-0.384423	405.426590	0.015073	5.3
109	-0.991409	404.267122	0.013610	4.8
110	-0.000000	403.116456	0.000000	4.5
111	-0.000000	401.974481	0.000000	4.9
112	-0.377142	400.841093	0.005454	5.0
113	-0.663051	399.716187	0.010639	4.6
114	-0.545033	398.599660	0.010952	4.1
115	-0.594689	397.491411	0.004921	5.7
116	-0.359200	396.391342	0.006580	4.7
117	-0.000000	395.299353	0.000000	5.0
118	-0.543751	394.215350	0.008848	5.3
119	-1.035338	393.139238	0.010751	4.8
120	-0.473021	392.070924	0.009491	4.5
121	-0.000000	391.010316	0.000000	5.0
122	-0.477513	389.957325	0.010807	5.2
123	-0.000000	388.911862	0.000000	4.8
124	-1.162248	387.873839	0.020896	4.6
125	-0.486255	386.843173	0.006371	5.8
126	-0.524401	385.819777	0.010068	4.7
127	-0.708096	384.803569	0.012286	5.0
128	-0.707594	383.794468	0.007287	5.6
129	-0.951088	382.792393	0.009856	4.8
130	-0.106333	381.797264	0.006022	4.7
131	-0.860612	380.809005	0.012539	6.0
132	-0.000000	379.827537	0.000000	4.7
133	-0.845505	378.852786	0.013692	5.0
134	-0.663024	377.884678	0.006307	5.8
135	-0.217897	376.923138	0.003582	4.8
136	-0.483450	375.968095	0.008698	4.8
137	-0.035023	375.019479	0.001871	5.3
138	-0.725140	374.077218	0.006267	4.7
139	-0.761355	373.141244	0.007615	5.4
140	-0.000000	372.211489	0.000000	4.8
141	-0.004982	371.287887	0.001254	5.4
142	-0.205348	370.370370	0.002116	4.7
143	-0.846678	369.458876	0.011582	4.9
144	-0.104483	368.553338	0.002888	5.5
145	-0.593585	367.653696	0.011474	4.7
146	-0.064660	366.759885	0.003248	4.5
147	-0.715369	365.871846	0.004622	4.9
148	-0.794008	364.989518	0.009210	4.0
149	-0.506484	364.112841	0.019587	4.7
150	-0.789349	363.241757	0.012621	4.9
151	-0.899112	362.376208	0.007029	5.3
152	-0.001744	361.516137	0.000152	4.8
153	-0.747263	360.661488	0.007571	4.6
154	-0.916797	359.812206	0.014522	5.7
155	-0.056644	358.968236	0.002858	4.7
156	-0.687661	358.129524	0.009036	4.5
157	-0.559791	357.296018	0.013520	5.1
158	-0.230602	356.467665	0.003589	5.5
159	-0.112539	355.644414	0.003027	4.6
160	-0.155246	354.826213	0.003691	4.7
161	-0.925947	354.013012	0.009722	5.3
162	-0.000286	353.204763	0.000028	4.5
163	-0.000000	352.401415	0.000000	4.5
164	-1.081115	351.602922	0.015248	5.6
165	-0.786185	350.809235	0.013699	4.6
166	-0.183667	350.020308	0.004259	4.7
167	-0.885653	349.236095	0.013451	5.1
168	-0.020486	348.456550	0.000711	5.0
169	-0.234800	347.681627	0.009372	3.7
170	-0.000000	346.911283	0.000000	4.6
171	-1.032779	346.145474	0.020959	4.5
172	-0.298242	345.384157	0.010605	4.0
173	-0.380473	344.627288	0.006381	4.8
174	-0.844122	343.874826	0.011550	6.0
175	-1.107504	343.126729	0.008322	5.7
176	-0.900594	342.382957	0.010977	5.3
177	-1.045950	341.643469	0.012662	6.0
178	-0.511955	340.908224	0.004991	4.7
179	-0.629984	340.177184	0.007690	4.8
180	-0.289830	339.450309	0.007346	3.7
181	-0.229117	338.727561	0.005694	6.2
182	-0.993185	338.008902	0.040600	5.0
183	-0.876831	337.294295	0.006755	4.3
184	-0.938988	336.583703	0.016777	5.6
185	-1.046828	335.877089	0.010568	5.0
