1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.646503	0.000000	5.560935	0.017257	270.0
1	-0.615148	0.000000	5.560935	0.008976	2.0
2	-0.624639	0.000000	5.560935	0.009645	2.1
3	-0.606582	0.953366	5.319441	0.009814	2.8
4	-0.609076	0.307470	5.480690	0.017585	2.3
5	-0.623853	0.000000	5.560935	0.016777	2.0
6	-0.598053	0.000000	5.560935	0.008849	2.0
7	-0.605855	0.999992	5.308167	0.007634	2.0
8	-0.605107	1.444494	5.203041	0.020763	2.0
9	-0.621587	0.507131	5.429810	0.020652	2.1
10	-0.572426	1.507131	5.188561	0.008333	2.4
11	-0.594530	2.507027	4.967860	0.011036	2.4
12	-0.601568	1.563469	5.175606	0.009774	2.0
13	-0.666059	2.563102	4.956038	0.022674	2.0
14	-0.617507	1.617733	5.163189	0.010512	2.2
15	-0.609813	2.617708	4.944579	0.011065	2.3
16	-0.589315	3.617196	4.743823	0.010855	2.2
17	-0.625045	4.399583	4.597699	0.011293	2.7
18	-0.624688	4.905856	4.507847	0.013596	2.0
19	-0.632799	5.905855	4.340305	0.016879	2.0
20	-0.618416	6.218970	4.290377	0.013696	2.1
21	-0.604074	7.171616	4.145294	0.015352	2.2
22	-0.590587	6.369177	4.266830	0.012092	2.0
23	-0.649270	7.281381	4.129205	0.011449	2.0
24	-0.629278	6.352268	4.269468	0.010677	3.0
25	-0.594196	5.505454	4.405872	0.010814	2.1
26	-0.631364	4.762824	4.532874	0.011447	2.0
27	-0.631615	3.813726	4.706251	0.015603	2.0
28	-0.615190	4.808168	4.524910	0.016321	2.0
29	-0.624117	3.861550	4.697198	0.008836	2.0
30	-0.638366	4.723446	4.539813	0.007282	2.0
31	-0.603488	5.596371	4.390811	0.009064	2.3
32	-0.616445	5.770088	4.362318	0.008697	2.5
33	-0.655135	5.666843	4.379207	0.007085	2.0
34	-0.619636	5.248827	4.448947	0.014257	2.0
35	-0.611869	6.245045	4.286270	0.013752	1.9
36	-0.602647	5.331000	4.435062	0.011558	2.2
37	-0.639490	6.329848	4.272970	0.012167	2.2
38	-0.630995	6.250401	4.285428	0.011173	2.2
39	-0.629492	7.033295	4.165747	0.011041	3.0
40	-0.615452	8.033249	4.022272	0.015976	2.5
41	-0.602597	8.551675	3.951709	0.012092	2.3
42	-0.631844	9.551675	3.822364	0.018166	2.0
43	-0.623963	10.551269	3.701266	0.012021	2.0
44	-0.623096	11.547658	3.587958	0.013951	2.1
45	-0.614009	12.547601	3.481013	0.011519	2.4
46	-0.599739	11.598561	3.582355	0.009032	2.4
47	-0.631724	12.528241	3.483023	0.016650	2.2
48	-0.604876	11.742360	3.566622	0.016322	2.0
49	-0.605154	10.801676	3.672122	0.007867	2.0
50	-0.605104	10.460147	3.711986	0.010915	2.3
51	-0.612061	11.458453	3.597819	0.015251	2.0
52	-0.633696	12.438566	3.492364	0.009950	2.1
53	-0.614983	13.436501	3.391158	0.010956	2.8
54	-0.636716	14.381546	3.300580	0.009906	2.1
55	-0.614959	13.484033	3.386484	0.019397	1.9
56	-0.614620	13.202409	3.414369	0.014365	2.0
57	-0.626882	12.615680	3.473963	0.010387	2.0
58	-0.623569	12.549739	3.480791	0.014093	2.0
59	-0.578529	13.549734	3.380044	0.014391	2.1
60	-0.659503	12.601383	3.475441	0.016038	2.6
61	-0.621064	13.599457	3.375187	0.013634	2.4
62	-0.627768	14.572734	3.282841	0.014984	2.2
63	-0.610791	13.623632	3.372830	0.010934	2.2
64	-0.622904	12.675050	3.467838	0.014824	2.0
65	-0.645284	13.120172	3.422598	0.011408	2.0
66	-0.614606	14.120171	3.325144	0.009468	2.0
67	-0.633088	13.175993	3.417008	0.016181	2.1
68	-0.646092	14.167585	3.320661	0.017696	2.6
69	-0.643414	13.796227	3.356100	0.014473	2.0
70	-0.608099	13.565343	3.378518	0.014445	2.0
71	-0.608855	12.616250	3.473904	0.008301	1.9
72	-0.640317	11.806112	3.559691	0.015560	2.2
73	-0.639415	12.760779	3.459032	0.014855	2.2
74	-0.639774	12.623427	3.473163	0.008405	2.2
75	-0.617085	13.058263	3.428819	0.021577	3.1
76	-0.639965	12.109183	3.527107	0.021403	2.1
77	-0.623534	13.109183	3.423701	0.010064	1.9
78	-0.614170	14.109183	3.326185	0.012785	2.0
79	-0.634749	13.275866	3.407051	0.019326	1.9
80	-0.595961	14.275672	3.310486	0.015182	2.2
81	-0.623773	13.326570	3.402019	0.013264	2.0
82	-0.619413	12.377468	3.498756	0.013086	3.3
83	-0.597429	13.377440	3.396984	0.016354	2.8
84	-0.625386	14.377439	3.300963	0.025709	2.2
