1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.708794	627.201626	0.015709	697.4
1	-1.161846	623.504937	0.014790	4.5
2	-1.055586	619.865785	0.021785	5.0
3	-0.693987	616.282728	0.033312	4.1
4	-0.000000	612.754375	0.000000	4.0
5	-0.377475	609.279381	0.008392	4.6
6	-0.702204	605.856447	0.009110	5.1
7	-0.000000	602.484317	0.000000	4.9
8	-0.000000	599.161779	0.000000	4.8
9	-0.645339	595.887656	0.021302	4.9
10	-0.000000	592.660813	0.000000	4.3
11	-0.515155	589.480151	0.007215	4.3
12	-0.543402	586.344606	0.010540	4.5
13	-0.248653	583.253145	0.005179	5.4
14	-0.000000	580.204771	0.000000	4.1
15	-0.778831	577.198517	0.023893	4.7
16	-0.935902	574.233444	0.030124	5.4
17	-0.937592	571.308645	0.027434	4.3
18	-0.871752	568.423237	0.021626	4.7
19	-0.440748	565.576365	0.009357	5.4
20	-0.000000	562.767201	0.000000	4.4
21	-0.833097	559.994938	0.015183	4.8
22	-0.476753	557.258797	0.009520	4.6
23	-0.040110	554.558018	0.000551	5.1
24	-1.014420	551.891865	0.015013	4.7
25	-0.843127	549.259621	0.015745	4.8
26	-0.750758	546.660592	0.021783	5.3
27	-0.679534	544.094102	0.006821	5.4
28	-0.505121	541.559494	0.006249	4.6
29	-0.389647	539.056129	0.007695	5.3
30	0.000000	536.583387	0.000000	4.6
31	-0.621925	534.140663	0.011614	4.7
32	0.000000	531.727370	0.000000	4.7
33	-0.088274	529.342935	0.003035	5.6
34	-0.986266	526.986802	0.007929	4.6
35	-0.238693	524.658430	0.006985	4.7
36	-0.219978	522.357290	0.008191	5.2
37	-0.000000	520.082868	0.000000	4.5
38	-0.002132	517.834665	0.001127	4.8
39	-0.614871	515.612193	0.014981	5.8
40	-0.604061	513.414976	0.011596	4.7
41	-0.281360	511.242551	0.008725	4.9
42	-1.034302	509.094468	0.010592	4.9
43	-0.867193	506.970285	0.015102	5.2
44	-0.000000	504.869574	0.000000	5.4
45	-0.585770	502.791916	0.015249	4.6
46	-0.425728	500.736903	0.003176	5.0
47	-1.134619	498.704137	0.014476	5.5
48	-0.134658	496.693228	0.008003	5.0
49	0.000000	494.703798	0.000000	5.6
50	-0.000000	492.735476	0.000000	5.7
51	-0.000000	490.787900	0.000000	4.7
52	-0.728888	488.860718	0.017936	5.7
53	-0.280902	486.953585	0.007003	5.3
54	-0.831445	485.066164	0.011884	5.2
55	-0.194876	483.198126	0.009659	5.6
56	-0.911224	481.349149	0.011848	4.8
57	-0.300619	479.518920	0.008966	5.4
58	-0.709954	477.707132	0.023808	5.5
59	-0.467743	475.913485	0.008853	5.1
60	-0.907130	474.137684	0.016114	4.8
61	-0.578604	472.379445	0.013758	5.9
62	-0.000000	470.638485	0.000000	4.6
63	-0.246820	468.914531	0.011497	5.4
64	-0.505042	467.207315	0.010448	6.7
65	-0.952103	465.516573	0.034175	5.5
66	-0.000000	463.842050	0.000000	4.9
67	-0.973047	462.183494	0.010434	5.4
