1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.589808	0.000000	9.732021	0.015894	340.5
1	-0.556644	0.000000	9.732021	0.007393	2.6
2	-0.578227	0.425908	9.538566	0.015036	2.3
3	-0.561320	0.397317	9.551311	0.013155	2.5
4	-0.575009	0.000000	9.732021	0.014821	2.4
5	-0.572656	0.263021	9.611637	0.016961	2.6
6	-0.567734	1.263019	9.179906	0.012026	3.3
7	-0.570675	2.229468	8.797982	0.016693	2.4
8	-0.535385	1.375086	9.133928	0.012166	2.4
9	-0.582109	2.375086	8.743173	0.009960	2.3
10	-0.528914	1.524332	9.073407	0.011282	2.4
11	-0.559369	2.518685	8.689790	0.011968	2.5
12	-0.548321	1.664061	9.017468	0.017253	2.8
13	-0.606912	0.809691	9.370717	0.011639	2.3
14	-0.543623	1.445956	9.105089	0.020642	2.4
15	-0.559126	0.631988	9.447695	0.009596	2.4
16	-0.528758	0.000000	9.732021	0.006826	2.4
17	-0.582100	0.000000	9.732021	0.017125	2.7
18	-0.580530	0.000000	9.732021	0.010859	3.2
19	-0.603764	1.000000	9.289656	0.017191	2.4
20	-0.574126	0.145276	9.665158	0.017283	2.3
21	-0.576438	0.000000	9.732021	0.015360	2.3
22	-0.559192	0.999999	9.289656	0.022122	2.3
23	-0.584105	1.999999	8.885758	0.014242	2.4
24	-0.594320	1.147835	9.227648	0.011461	3.1
25	-0.554558	0.293121	9.598050	0.018555	2.4
26	-0.578270	1.293121	9.167511	0.015254	2.3
27	-0.598781	2.207394	8.806350	0.017920	2.4
28	-0.570624	1.864043	8.938595	0.016401	2.3
29	-0.602215	1.009319	9.285723	0.008774	2.4
30	-0.576867	0.732087	9.404179	0.016287	2.4
31	-0.553582	0.000000	9.732021	0.013071	3.2
32	-0.570275	0.000000	9.732021	0.008092	2.6
33	-0.610273	0.000000	9.732021	0.017468	2.4
34	-0.598777	0.822226	9.365334	0.015997	2.2
35	-0.583695	0.000000	9.732021	0.015417	2.3
36	-0.553873	0.000000	9.732021	0.015087	2.6
