1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.734104	627.201626	0.015529	1239.8
1	-1.073395	623.504937	0.014798	6.1
2	-1.104391	619.865785	0.027384	5.1
3	-0.806607	616.282728	0.027949	5.3
4	-0.000000	612.754375	0.000000	5.7
5	-0.346908	609.279381	0.006724	5.2
6	-0.687928	605.856447	0.018150	5.1
7	-0.000000	602.484317	0.000000	5.4
8	-0.000000	599.161779	0.000000	5.1
9	-0.698009	595.887656	0.024293	5.7
10	-0.000000	592.660813	0.000000	6.4
11	-0.510922	589.480151	0.012191	6.3
12	-0.776768	586.344606	0.017200	7.9
13	-0.238430	583.253145	0.002628	6.1
14	-0.000000	580.204771	0.000000	5.1
15	-0.721575	577.198517	0.018959	5.9
16	-0.881617	574.233444	0.041203	5.0
17	-0.873041	571.308645	0.023952	5.2
18	-0.968268	568.423237	0.023267	5.6
19	-0.308629	565.576365	0.008554	5.7
20	0.000000	562.767201	0.000000	5.2
21	-0.938626	559.994938	0.011951	6.1
22	-0.481214	557.258797	0.009492	5.0
23	-0.040957	554.558018	0.000902	5.2
24	-1.111621	551.891865	0.025486	6.3
25	-0.998695	549.259621	0.017754	5.3
26	-0.670298	546.660592	0.024805	5.3
27	-0.586485	544.094102	0.012054	5.9
28	-0.532613	541.559494	0.007801	5.6
29	-0.398087	539.056129	0.011750	5.1
30	0.000000	536.583387	0.000000	6.5
31	-0.642284	534.140663	0.016035	6.8
32	0.000000	531.727370	0.000000	5.6
33	-0.114898	529.342935	0.002194	6.4
34	-1.036388	526.986802	0.016577	6.0
35	-0.256358	524.658430	0.005449	5.6
36	-0.209799	522.357290	0.002853	6.3
37	-0.000000	520.082868	0.000000	5.8
38	-0.009272	517.834665	0.000913	5.9
39	-0.830140	515.612193	0.022455	5.5
40	-0.745536	513.414976	0.009379	5.3
41	-0.318554	511.242551	0.004847	5.9
42	-1.008291	509.094468	0.029295	5.1
43	-0.765058	506.970285	0.026231	5.4
44	-0.000000	504.869574	0.000000	6.1
45	-0.499606	502.791916	0.012216	5.4
46	-0.328870	500.736903	0.002431	5.1
47	-1.089788	498.704137	0.030532	6.1
48	-0.141209	496.693228	0.006334	5.3
49	0.000000	494.703798	0.000000	5.2
50	-0.000000	492.735476	0.000000	6.0
51	-0.000000	490.787900	0.000000	5.3
52	-0.486872	488.860718	0.017934	5.1
53	-0.326871	486.953585	0.010345	5.9
54	-0.872663	485.066164	0.021670	5.5
55	-0.213463	483.198126	0.002711	5.5
56	-0.936277	481.349149	0.017378	6.1
57	-0.225152	479.518920	0.006983	5.7
58	-0.572540	477.707132	0.023171	5.4
59	-0.522852	475.913485	0.004261	5.9
60	-1.008974	474.137684	0.019215	5.4
61	-0.548477	472.379445	0.010652	6.1
62	-0.000000	470.638485	0.000000	5.5
63	-0.267751	468.914531	0.003970	5.4
64	-0.540386	467.207315	0.008382	6.6
65	-1.047610	465.516573	0.031880	5.8
66	-0.000000	463.842050	0.000000	5.4
67	-0.954106	462.183494	0.009000	6.4
68	-0.577433	460.540658	0.019185	5.6
69	-0.576442	458.913303	0.009982	5.7
70	-0.465780	457.301192	0.007707	6.3
71	-0.275841	455.704096	0.006725	5.7
72	-0.000000	454.121787	0.000000	5.6
73	-0.922114	452.554045	0.032358	6.7
74	-0.651702	451.000653	0.015431	5.7
75	-0.818250	449.461399	0.011363	6.1
76	-0.000031	447.936075	0.000003	5.5
77	-0.755269	446.424477	0.018260	5.5
78	-0.024445	444.926406	0.000267	6.7
79	-0.633813	443.441666	0.007001	5.6
80	-0.801899	441.970065	0.012180	5.8
81	-0.602568	440.511415	0.012505	6.3
82	-0.745505	439.065533	0.025473	5.7
83	-0.635220	437.632238	0.010035	6.1
84	-0.451982	436.211351	0.012712	6.6
85	-0.000000	434.802701	0.000000	6.6
86	-0.703834	433.406117	0.009698	6.8
87	-0.073906	432.021430	0.004477	5.9
88	-0.000093	430.648479	0.000081	5.7
89	0.000000	429.287101	0.000000	6.9
90	-0.818789	427.937140	0.034126	5.9
91	-0.162357	426.598440	0.000581	6.6
92	-0.594526	425.270849	0.034332	7.1
93	-0.097636	423.954220	0.001710	5.7
94	-0.552850	422.648404	0.009524	6.5
95	-0.065809	421.353259	0.003424	5.9
96	-0.062327	420.068643	0.002442	6.2
97	-0.029007	418.794419	0.001068	6.0
98	-0.000000	417.530451	0.000000	5.7
99	-0.348530	416.276604	0.005274	6.6
100	-0.925292	415.032748	0.014515	5.6
101	-0.904976	413.798754	0.014990	6.0
102	-0.000000	412.574495	0.000000	6.5
103	-0.596230	411.359849	0.016158	5.6
104	-1.068002	410.154691	0.038129	6.1
105	-0.563689	408.958904	0.006227	6.5
106	-0.534836	407.772368	0.008047	5.9
107	-0.631092	406.594968	0.008795	6.8
108	-0.905130	405.426590	0.012116	5.9
109	-0.000008	404.267122	0.000000	5.8
110	-0.508963	403.116456	0.008615	6.4
111	-1.017750	401.974481	0.026467	6.2
112	-0.000000	400.841093	0.000000	6.6
113	-0.966206	399.716187	0.022592	6.0
114	-0.072996	398.599660	0.002661	5.7
115	-0.000000	397.491411	0.000000	6.9
116	-0.000000	396.391342	0.000000	5.7
117	-0.233155	395.299353	0.003113	5.9
118	-0.701289	394.215350	0.012646	6.8
119	-0.124317	393.139238	0.004237	5.7
120	-0.782058	392.070924	0.011962	6.3
121	-0.747177	391.010316	0.008904	6.3
122	-0.000754	389.957325	0.000059	6.0
123	-0.895026	388.911862	0.039306	7.0
124	-0.508364	387.873839	0.007506	5.8
125	-0.787258	386.843173	0.008604	5.8
126	-0.000000	385.819777	0.000000	6.2
127	-0.873127	384.803569	0.019430	6.4
128	-0.706217	383.794468	0.017783	6.5
129	-0.719364	382.792393	0.009214	5.7
130	-1.008358	381.797264	0.039535	5.7
131	-0.235632	380.809005	0.004286	6.4
132	-0.867172	379.827537	0.012791	5.9
133	-0.006101	378.852786	0.000506	5.7
134	-0.850776	377.884678	0.027025	6.4
135	-0.608169	376.923138	0.007491	5.7
136	-0.705671	375.968095	0.007502	6.3
137	-0.517178	375.019479	0.007264	6.2
138	-0.565909	374.077218	0.019323	5.8
139	-0.684803	373.141244	0.020044	6.9
140	-0.114397	372.211489	0.002774	5.4
141	-0.900350	371.287887	0.010963	5.7
142	-0.519148	370.370370	0.012628	7.5
143	-0.389907	369.458876	0.004466	6.9
144	-0.000000	368.553338	0.000000	7.0
145	-0.971157	367.653696	0.018497	6.3
146	-0.850431	366.759885	0.024345	6.3
147	-0.542083	365.871846	0.019014	7.1
148	-0.001109	364.989518	0.000070	5.6
149	-0.576342	364.112841	0.027074	6.8
150	0.000000	363.241757	0.000000	5.8
151	-0.424981	362.376208	0.012177	5.7
152	-0.024843	361.516137	0.000772	6.6
153	-0.548317	360.661488	0.007808	5.7
154	-0.654106	359.812206	0.009748	5.7
155	-0.108934	358.968236	0.001989	6.5
156	-0.540627	358.129524	0.008242	6.1
157	-0.470212	357.296018	0.010639	7.0
158	-0.000000	356.467665	0.000000	6.2
159	-0.689050	355.644414	0.011295	6.1
160	-0.929929	354.826213	0.017576	6.9
161	-0.970756	354.013012	0.031022	7.1
162	-0.000000	353.204763	0.000000	6.7
163	-0.678208	352.401415	0.007979	6.0
164	0.000000	351.602922	0.000000	6.4
165	-0.000000	350.809235	0.000000	7.4
166	-0.288509	350.020308	0.009018	6.0
167	-0.908216	349.236095	0.015379	7.0
168	-0.763904	348.456550	0.010110	6.2
169	-0.000000	347.681627	0.000000	5.8
170	-0.768247	346.911283	0.027716	6.9
171	-0.671836	346.145474	0.015027	6.3
172	-0.309444	345.384157	0.003379	7.8
173	-1.014296	344.627288	0.037211	6.6
174	-0.963498	343.874826	0.011774	6.8
175	-0.001669	343.126729	0.000556	6.8
176	-0.918753	342.382957	0.010716	6.4
177	0.000000	341.643469	0.000000	6.9
178	-0.165260	340.908224	0.003805	6.2
179	-0.587231	340.177184	0.012653	7.8
180	-0.618060	339.450309	0.023732	6.6
181	-0.000000	338.727561	0.000000	6.3
182	-0.082107	338.008902	0.003179	7.2
183	-0.790679	337.294295	0.007439	5.9
184	-0.504288	336.583703	0.008099	7.2
185	-0.893292	335.877089	0.015976	5.7
186	-0.353966	335.174416	0.006111	5.7
187	-0.990777	334.475651	0.031351	6.9
188	-0.764077	333.780756	0.011471	5.7
189	-0.000194	333.089698	0.000032	6.2
190	-0.000000	332.402443	0.000000	6.6
191	-0.790492	331.718955	0.022724	6.3
192	-0.579512	331.039203	0.009724	6.2
193	-0.763861	330.363153	0.009154	6.2
194	-0.348991	329.690771	0.002348	6.2
195	-0.000000	329.022027	0.000000	6.8
196	-1.123870	328.356888	0.036664	6.0
197	0.000000	327.695322	0.000000	6.6
198	-0.406563	327.037299	0.017045	5.9
199	-0.000000	326.382787	0.000000	6.1
200	-0.330627	325.731758	0.006694	6.5
201	-0.000000	325.084179	0.000000	6.1
202	-1.018753	324.440023	0.041459	6.2
203	-0.835991	323.799258	0.023733	6.1
204	-0.940449	323.161858	0.018248	5.7
205	-0.000644	322.527792	0.000064	6.6
206	-0.510795	321.897034	0.009018	5.7
207	-0.016869	321.269554	0.001748	6.0
208	-0.417494	320.645325	0.006748	6.7
209	-0.062177	320.024320	0.000796	6.4
210	-0.276518	319.406512	0.007259	7.1
211	-0.791407	318.791875	0.012669	6.2
212	-1.024042	318.180381	0.021593	6.0
213	0.000000	317.572005	0.000000	6.9
214	-0.664523	316.966721	0.021580	6.1
215	-0.000000	316.364504	0.000000	6.4
216	0.000000	315.765329	0.000000	6.3
217	0.000000	315.169170	0.000000	5.9
218	-0.978460	314.576003	0.026771	7.5
219	-0.936693	313.985804	0.032576	6.1
220	-0.817550	313.398548	0.019721	6.4
221	0.000000	312.814213	0.000000	6.3
222	-0.593927	312.232773	0.005361	6.2
223	-0.961430	311.654207	0.012204	7.4
224	-0.426349	311.078491	0.019047	6.1
225	-0.000000	310.505602	0.000000	6.1
226	-0.000000	309.935518	0.000000	6.9
227	-0.820304	309.368217	0.011751	6.8
228	-0.847877	308.803676	0.025227	7.2
229	-0.000000	308.241874	0.000000	6.2
230	-0.484471	307.682789	0.005980	6.6
231	-0.133560	307.126400	0.004701	6.1
232	0.000000	306.572687	0.000000	6.0
233	0.000000	306.021627	0.000000	7.1
234	-0.400612	305.473201	0.013069	5.9
235	-0.362790	304.927388	0.006132	5.7
236	-0.509076	304.384168	0.007829	7.4
237	0.000000	303.843521	0.000000	5.8
238	-0.659543	303.305427	0.016411	7.2
239	-0.913468	302.769867	0.009560	5.8
240	-0.888778	302.236821	0.018096	5.9
241	-0.000000	301.706270	0.000000	6.5
242	-0.956375	301.178196	0.012051	6.0
243	0.000000	300.652580	0.000000	6.2
244	-0.587417	300.129402	0.016629	7.3
245	-0.825060	299.608645	0.017871	6.0
246	-0.139493	299.090291	0.001894	6.7
247	-0.617940	298.574321	0.013782	5.9
248	-0.887738	298.060718	0.008748	5.8
249	-0.874867	297.549465	0.034648	6.6
250	-0.617541	297.040543	0.006341	6.0
251	-0.556485	296.533936	0.008099	7.2
252	-0.000000	296.029626	0.000000	5.8
253	-0.691854	295.527597	0.003758	6.1
254	-0.458618	295.027832	0.006183	6.4
255	-0.052125	294.530315	0.002491	5.9
256	-0.341712	294.035028	0.003381	6.1
257	-0.820863	293.541956	0.009456	6.1
258	-0.000000	293.051083	0.000000	5.9
259	-0.502312	292.562393	0.006527	7.1
260	0.000000	292.075870	0.000000	5.7
261	-1.012527	291.591498	0.019474	5.8
262	-0.000000	291.109263	0.000000	7.5
263	-1.146818	290.629149	0.032252	7.9
264	-0.000031	290.151140	0.000013	8.2
265	-0.623962	289.675222	0.011230	6.8
266	-0.125410	289.201380	0.003837	6.8
267	-0.000000	288.729600	0.000000	5.7
268	-0.000000	288.259866	0.000000	6.2
269	-0.803846	287.792165	0.009803	7.1
270	-0.000000	287.326481	0.000000	5.9
271	-0.808031	286.862802	0.019132	7.4
272	-0.003113	286.401113	0.000122	6.2
273	-0.144336	285.941400	0.004286	6.0
274	0.000000	285.483649	0.000000	7.0
275	-0.636587	285.027847	0.010439	6.1
276	-0.627741	284.573981	0.010021	7.3
277	-0.596896	284.122037	0.008917	6.3
278	-0.875285	283.672002	0.007560	6.0
279	-0.277562	283.223863	0.003590	7.0
280	-0.894853	282.777607	0.008117	6.4
281	-0.000000	282.333221	0.000000	7.3
282	-0.696463	281.890692	0.006914	6.0
283	-0.466305	281.450008	0.005934	6.5
284	-0.957988	281.011157	0.008928	7.0
285	-0.930577	280.574125	0.027833	6.0
286	-0.744402	280.138901	0.007335	7.1
287	-0.250794	279.705473	0.009541	6.0
288	-0.461424	279.273829	0.010388	6.0
289	-0.000000	278.843956	0.000000	6.7
290	-0.788033	278.415844	0.008377	6.0
291	-0.176871	277.989479	0.003391	6.4
292	-0.204791	277.564851	0.005786	6.1
293	-0.250228	277.141949	0.005885	6.2
294	-1.030334	276.720761	0.016636	7.6
295	-0.806821	276.301275	0.012846	6.4
296	-1.138620	275.883480	0.030730	6.5
297	-0.022951	275.467366	0.001062	6.6
298	-0.000000	275.052922	0.000000	6.2
299	-0.234330	274.640136	0.003559	6.9
300	-0.739116	274.228998	0.021931	6.2
301	-0.484844	273.819497	0.009516	6.4
302	-0.000000	273.411623	0.000000	6.2
303	-0.576813	273.005365	0.007083	5.7
304	-0.522481	272.600712	0.008102	6.6
305	-0.000000	272.197655	0.000000	5.8
306	-0.008884	271.796184	0.000510	5.9
307	-0.275458	271.396287	0.005693	6.4
308	-0.517900	270.997956	0.003690	5.7
309	-0.690678	270.601180	0.033246	6.4
310	-0.000019	270.205949	0.000013	6.6
311	-0.621790	269.812254	0.006973	5.9
312	-0.674844	269.420085	0.009479	6.8
313	-0.933618	269.029432	0.019280	6.3
314	-0.451639	268.640287	0.007051	5.9
315	-0.892645	268.252638	0.013235	6.3
316	-0.000000	267.866478	0.000000	5.9
317	-0.155118	267.481796	0.003544	6.3
318	-0.000073	267.098584	0.000028	5.6
319	0.000000	266.716833	0.000000	6.1
320	-0.563286	266.336533	0.006119	6.8
321	-0.633993	265.957676	0.008073	6.2
322	0.000000	265.580253	0.000000	6.1
323	-0.677571	265.204254	0.016045	6.6
324	-0.249978	264.829672	0.004667	6.0
325	-0.994665	264.456497	0.015030	7.5
326	-0.351243	264.084721	0.004757	6.2
327	-0.203691	263.714335	0.002287	6.0
328	-0.589041	263.345332	0.010055	6.6
329	-0.509968	262.977702	0.006381	5.7
330	-0.422030	262.611438	0.006783	6.9
331	-0.590657	262.246531	0.005938	7.1
332	-0.317228	261.882973	0.004944	6.8
333	-1.096872	261.520756	0.006788	6.8
334	-0.741863	261.159871	0.005867	6.1
335	-0.722481	260.800312	0.024778	6.5
336	-0.000000	260.442070	0.000000	5.8
337	-0.387796	260.085137	0.006807	5.9
338	-1.029290	259.729505	0.042346	6.8
339	-0.000000	259.375167	0.000000	5.7
340	-0.302596	259.022116	0.005430	6.4
341	-0.772185	258.670343	0.007914	6.1
342	-0.031394	258.319841	0.000494	6.1
343	-0.764826	257.970602	0.024800	6.8
344	-1.015153	257.622620	0.023518	5.6
345	-0.033772	257.275887	0.000555	5.7
346	-1.083169	256.930396	0.025150	6.7
347	-0.375860	256.586139	0.005994	6.6
348	-0.951169	256.243109	0.025457	6.9
349	-0.279102	255.901300	0.007053	5.9
350	-0.637260	255.560703	0.015488	5.8
351	-0.599079	255.221313	0.007981	6.6
352	-0.512956	254.883122	0.005652	5.8
353	-0.679073	254.546124	0.007588	6.4
354	-0.670924	254.210311	0.017349	6.6
355	-0.441495	253.875677	0.005642	6.1
356	-0.098664	253.542215	0.002019	7.3
357	-0.927425	253.209918	0.016673	5.8
358	-0.002352	252.878781	0.000103	6.8
359	-0.691131	252.548795	0.014248	6.8
360	-0.354705	252.219956	0.006463	6.6
361	-0.588068	251.892255	0.012328	7.2
362	-0.655327	251.565688	0.004934	6.2
363	0.000000	251.240247	0.000000	6.8
364	-0.063138	250.915926	0.002035	7.4
365	-0.000006	250.592720	0.000003	6.1
366	-0.877177	250.270621	0.012672	6.7
367	-0.551531	249.949624	0.011745	6.0
368	-0.429285	249.629723	0.009098	7.1
369	-0.000027	249.310911	0.000011	6.3
370	-0.000000	248.993182	0.000000	6.0
371	-1.133703	248.676531	0.036675	6.8
372	-0.633223	248.360952	0.007620	6.1
373	0.000000	248.046438	0.000000	6.5
374	-0.000011	247.732984	0.000005	6.3
375	-1.006802	247.420584	0.014999	6.1
376	-0.673501	247.109233	0.005465	7.1
377	-0.022855	246.798924	0.002224	6.1
378	-0.000000	246.489652	0.000000	6.3
379	-0.000000	246.181412	0.000000	6.7
380	0.000000	245.874197	0.000000	6.0
381	-0.193105	245.568002	0.003362	6.8
382	-0.001484	245.262822	0.000084	6.5
383	-0.573395	244.958652	0.006814	6.4
384	-0.219120	244.655485	0.003242	6.2
385	-0.257456	244.353317	0.004299	6.1
386	-0.012246	244.052142	0.000185	6.9
387	-0.199328	243.751955	0.009085	5.9
388	-0.487950	243.452750	0.006798	6.3
389	-0.418018	243.154523	0.003612	6.6
390	-1.023129	242.857268	0.021058	5.8
391	-1.134344	242.560980	0.019811	6.6
392	-0.481196	242.265654	0.003909	6.3
393	0.000000	241.971285	0.000000	5.9
394	-0.660567	241.677868	0.008136	6.9
395	-0.720317	241.385397	0.011560	6.4
396	-0.428781	241.093869	0.005863	6.0
397	-0.939446	240.803278	0.014888	6.4
398	-0.000739	240.513619	0.000034	5.9
399	-0.380956	240.224887	0.004518	7.2
400	-0.000000	239.937077	0.000000	5.9
401	-0.474796	239.650186	0.006744	5.7
402	0.000000	239.364207	0.000000	6.4
403	-0.921780	239.079136	0.006714	5.7
404	-0.757229	238.794969	0.011550	6.2
405	-0.000004	238.511701	0.000002	6.4
406	-1.056466	238.229327	0.014323	5.9
407	-1.001891	237.947843	0.015210	6.8
408	-1.117059	237.667244	0.012690	5.8
409	-0.011493	237.387526	0.000122	5.8
410	-0.000000	237.108684	0.000000	7.1
411	-0.744542	236.830714	0.006606	6.3
412	-0.147467	236.553610	0.004037	6.9
413	-0.000000	236.277370	0.000000	7.1
414	-0.000000	236.001989	0.000000	6.3
415	-0.000000	235.727461	0.000000	7.1
416	-0.529710	235.453784	0.017298	6.0
417	-0.623160	235.180952	0.009143	6.9
418	-0.326433	234.908962	0.006876	5.9
419	-0.513067	234.637809	0.007042	6.2
420	-0.211323	234.367488	0.003843	6.9
421	-0.000000	234.097997	0.000000	6.1
422	-0.706957	233.829331	0.004901	7.0
423	-0.980302	233.561485	0.024033	6.0
424	-0.092091	233.294456	0.000935	5.8
425	-0.235552	233.028239	0.004754	7.0
426	-0.617114	232.762831	0.007885	6.0
427	-0.913212	232.498228	0.005049	6.7
428	-0.151918	232.234425	0.004331	6.2
429	-0.549032	231.971419	0.007847	6.3
430	-0.600532	231.709205	0.010463	7.6
431	-0.655044	231.447781	0.006795	6.5
432	-1.127539	231.187141	0.018958	7.2
433	-0.798943	230.927283	0.017393	6.0
434	-0.000000	230.668202	0.000000	5.8
435	-0.000000	230.409895	0.000000	7.2
436	-0.000000	230.152358	0.000000	5.7
437	-0.000000	229.895587	0.000000	6.3
438	-0.051005	229.639578	0.002740	5.9
439	-0.622218	229.384329	0.006654	5.9
440	-0.760656	229.129834	0.009477	7.0
441	-0.836406	228.876091	0.011684	5.8
442	-1.150578	228.623096	0.012752	6.0
443	-1.109311	228.370846	0.027423	6.8
444	-0.336269	228.119336	0.004101	5.9
445	-0.000000	227.868563	0.000000	6.4
446	-0.023331	227.618525	0.001501	5.8
447	-0.925282	227.369216	0.012199	5.9
448	-0.849476	227.120635	0.009813	7.7
449	-1.143217	226.872777	0.019250	6.8
450	-0.207733	226.625638	0.002483	7.1
451	-0.237976	226.379217	0.004946	5.7
452	-0.459778	226.133509	0.006831	6.5
453	-0.674521	225.888510	0.016849	6.5
454	-1.144718	225.644218	0.034884	6.0
455	-0.000000	225.400630	0.000000	6.3
456	-0.862039	225.157741	0.014757	6.1
457	-0.571998	224.915549	0.006867	6.0
458	-0.000000	224.674051	0.000000	7.3
459	-0.000000	224.433242	0.000000	6.1
460	-0.027867	224.193121	0.001087	5.9
461	-0.000000	223.953684	0.000000	7.0
462	-0.612250	223.714927	0.008388	5.8
463	-0.011811	223.476848	0.000696	6.4
464	-0.122528	223.239444	0.003978	6.5
465	-0.663260	223.002710	0.009799	6.7
466	-0.179194	222.766645	0.001885	6.6
467	-0.361447	222.531245	0.006676	6.4
468	-0.654885	222.296508	0.006760	7.2
469	-0.941604	222.062429	0.034103	6.0
470	-0.000000	221.829007	0.000000	6.0
471	-0.281466	221.596238	0.003253	6.8
472	-0.938507	221.364119	0.005327	6.3
473	-0.167523	221.132647	0.003612	6.9
474	-0.261122	220.901820	0.005642	6.1
475	-1.013411	220.671634	0.015060	6.2
476	-1.024452	220.442086	0.016922	7.4
477	-0.224666	220.213174	0.004611	6.3
478	-0.158082	219.984895	0.000755	7.3
479	-0.754378	219.757246	0.004818	5.6
480	-0.275715	219.530224	0.004911	6.0
481	-0.335029	219.303826	0.003588	7.0
482	-0.381889	219.078050	0.004302	6.4
483	-0.000000	218.852893	0.000000	6.5
484	-1.054560	218.628352	0.009186	5.8
485	-1.055237	218.404424	0.032196	5.9
486	-0.065167	218.181106	0.001932	6.6
487	-0.662909	217.958397	0.007277	6.4
488	-0.000000	217.736292	0.000000	6.1
489	-0.000009	217.514790	0.000007	6.3
490	0.000000	217.293888	0.000000	5.9
491	0.000000	217.073584	0.000000	6.6
492	-0.016869	216.853873	0.000449	6.0
