1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.539408	0.000000	8.624183	0.006729	358.4
1	-0.496133	0.000000	8.624183	0.011396	2.5
2	-0.543770	0.000000	8.624183	0.016243	2.7
3	-0.512849	0.000000	8.624183	0.012594	2.4
4	-0.509405	1.000000	8.232175	0.010265	3.5
5	-0.512869	1.999725	7.874348	0.014878	2.4
6	-0.509719	1.047710	8.214361	0.009046	2.9
7	-0.538073	0.095696	8.585061	0.008187	2.5
8	-0.494067	1.095684	8.196526	0.004711	2.5
9	-0.530296	1.869520	7.919180	0.011833	3.1
10	-0.489129	2.866276	7.588442	0.005874	3.0
11	-0.516898	1.914417	7.903664	0.006401	2.8
12	-0.519997	2.750865	7.625316	0.014302	2.5
13	-0.574132	3.723071	7.325459	0.016112	2.3
14	-0.510170	4.681646	7.052034	0.010305	2.4
15	-0.511995	3.729631	7.323516	0.018056	3.0
16	-0.486428	4.729631	7.038882	0.016653	2.5
17	-0.533354	5.729631	6.775546	0.010232	2.7
18	-0.528566	4.979000	6.971317	0.009517	2.9
19	-0.547677	5.604444	6.807428	0.012680	2.5
20	-0.530750	6.386233	6.613098	0.012050	2.9
21	-0.525701	7.386233	6.380130	0.008526	2.8
22	-0.521837	8.371953	6.166013	0.007892	2.5
23	-0.537157	7.419986	6.372552	0.009718	2.4
24	-0.582071	6.470087	6.592911	0.008566	2.3
25	-0.498197	5.518072	6.829601	0.008093	2.3
26	-0.519101	4.566062	7.083916	0.012624	2.3
27	-0.560992	5.560187	6.818771	0.012428	3.7
28	-0.528137	4.608172	7.072268	0.008231	3.0
29	-0.542675	5.582489	6.813051	0.010386	2.5
30	-0.545513	4.630474	7.066114	0.006059	2.3
31	-0.525119	3.679058	7.338523	0.009658	2.3
32	-0.514483	4.668763	7.055573	0.010851	2.7
33	-0.562034	4.016976	7.239398	0.020451	2.9
34	-0.541593	5.016976	6.961141	0.009171	2.4
35	-0.549980	4.064962	7.225538	0.006778	2.3
36	-0.526532	5.064947	6.948330	0.010540	2.3
37	-0.546676	4.114119	7.211395	0.008894	2.6
38	-0.533224	5.114119	6.935246	0.007954	2.4
39	-0.517239	6.113521	6.679614	0.009633	3.5
40	-0.543304	5.385919	6.863807	0.006595	2.4
41	-0.504082	6.385010	6.613393	0.013255	2.5
42	-0.556546	7.305642	6.398295	0.009103	2.4
43	-0.534597	6.353627	6.620981	0.011140	2.4
44	-0.511849	6.114249	6.679434	0.012417	2.5
45	-0.525496	5.162323	6.922468	0.015843	3.5
46	-0.495057	6.162323	6.667612	0.006612	2.7
47	-0.532043	5.210309	6.909794	0.017197	2.7
48	-0.541654	4.258295	7.170232	0.011202	2.5
49	-0.503008	3.307827	7.450598	0.006297	2.3
50	-0.509500	2.356083	7.754205	0.007113	2.4
51	-0.512955	1.408439	8.082127	0.010149	3.1
52	-0.530525	0.456595	8.440661	0.013111	2.3
53	-0.525949	1.456595	8.064795	0.008109	2.7
54	-0.538520	0.505251	8.421564	0.006889	2.4
55	-0.499977	0.000000	8.624183	0.007099	2.4
56	-0.534331	0.999952	8.232193	0.008292	2.4
57	-0.526159	1.999951	7.874271	0.008909	3.7
58	-0.533793	2.903260	7.576700	0.008187	2.8
59	-0.469844	3.894501	7.275014	0.008815	2.7
60	-0.546271	4.884983	6.996637	0.007909	2.6
61	-0.514288	3.940663	7.261549	0.013046	2.5
62	-0.553945	4.940663	6.981620	0.010695	2.6
63	-0.541882	5.940663	6.722472	0.008476	3.1
64	-0.536128	6.940663	6.481873	0.009169	2.9
65	-0.543213	7.940480	6.257942	0.008266	2.7
66	-0.529895	6.988987	6.470682	0.007281	2.8
67	-0.524490	7.988461	6.247584	0.007131	2.6
68	-0.545344	7.036474	6.459723	0.010458	3.3
69	-0.543040	7.301336	6.399268	0.013736	2.4
70	-0.534402	6.349321	6.622023	0.008934	2.5
71	-0.514988	7.349207	6.388462	0.008470	2.6
72	-0.523809	8.120849	6.219181	0.009687	2.4
73	-0.528197	9.120601	6.012757	0.009294	2.9
74	-0.533085	8.168586	6.209003	0.011143	3.2
75	-0.527292	8.178865	6.206816	0.010113	2.4
76	-0.535479	9.178863	6.001149	0.008467	2.3
77	-0.513111	10.105987	5.822282	0.008471	2.5
78	-0.511656	11.088573	5.643998	0.008747	2.9
79	-0.518720	10.574649	5.735862	0.009912	2.8
80	-0.514538	9.634426	5.911906	0.012468	3.3
81	-0.516350	8.682425	6.101518	0.014540	2.9
82	-0.532346	7.740680	6.301446	0.011582	2.7
83	-0.515242	8.686173	6.100747	0.006858	2.6
84	-0.548876	7.868286	6.273592	0.007131	2.6
85	-0.513934	6.934783	6.483238	0.009944	2.7
86	-0.498007	7.914039	6.263664	0.013684	2.9
87	-0.552479	8.907101	6.055680	0.011761	2.8
88	-0.524987	7.955615	6.254671	0.012199	2.9
89	-0.540846	8.955615	6.045873	0.006459	2.5
90	-0.531893	9.955573	5.850573	0.010253	2.7
91	-0.524292	9.003563	6.036211	0.008447	3.1
92	-0.532140	9.641076	5.910623	0.010368	2.6
93	-0.569082	10.637401	5.724485	0.011323	2.5
94	-0.536600	9.685386	5.902088	0.007268	2.6
95	-0.505243	10.685386	5.715816	0.010952	2.5
96	-0.525675	9.733689	5.892812	0.005280	2.5
97	-0.530419	10.733689	5.707116	0.011267	3.6
98	-0.519969	11.167241	5.630195	0.009503	2.5
99	-0.529065	10.215226	5.801907	0.014133	2.6
100	-0.530697	11.215226	5.621809	0.007363	2.7
101	-0.499322	12.156061	5.462285	0.012211	3.4
102	-0.537366	13.156061	5.302363	0.008655	3.0
103	-0.515208	14.156061	5.151540	0.009519	3.0
104	-0.512902	15.108017	5.015724	0.011831	2.6
105	-0.508735	16.108017	4.880558	0.009884	2.6
106	-0.495677	17.108017	4.752487	0.011228	2.7
107	-0.528250	16.156002	4.874255	0.009279	2.7
108	-0.507058	17.155443	4.746579	0.007163	2.8
109	-0.542414	18.147324	4.626315	0.015605	2.7
110	-0.557154	17.195324	4.741623	0.008666	2.6
111	-0.527907	16.359100	4.847757	0.010223	2.7
112	-0.510605	17.359100	4.721379	0.007600	2.4
113	-0.531789	16.407087	4.841538	0.008990	2.5
114	-0.511399	15.455072	4.967974	0.012129	3.2
115	-0.507285	14.503057	5.101190	0.012710	2.3
116	-0.518971	13.551042	5.241748	0.008883	2.5
117	-0.551180	12.599027	5.390270	0.012368	2.6
118	-0.509277	11.647814	5.547319	0.010741	2.4
119	-0.511941	11.227128	5.619733	0.008104	2.5
120	-0.519075	12.226844	5.450648	0.009489	2.7
121	-0.508505	13.158409	5.301999	0.008099	2.9
122	-0.492444	14.158409	5.151196	0.005137	3.0
123	-0.524243	15.157546	5.008853	0.007605	2.7
124	-0.489034	15.937029	4.903151	0.008187	2.7
125	-0.519253	16.911538	4.777117	0.007788	2.9
126	-0.527333	15.966412	4.899254	0.013751	3.3
127	-0.503829	16.966412	4.770212	0.009138	2.4
128	-0.536007	16.014397	4.892903	0.012391	2.8
129	-0.520668	17.014397	4.764191	0.007849	2.8
130	-0.507745	17.715225	4.677949	0.009271	2.5
131	-0.492152	16.778997	4.793876	0.009268	2.7
132	-0.499277	15.841585	4.915854	0.011557	2.8
133	-0.529036	14.889571	5.046253	0.006743	2.6
134	-0.518789	15.889571	4.909459	0.011127	2.6
135	-0.508788	14.937804	5.039480	0.010950	2.3
136	-0.552768	15.937804	4.903048	0.007776	2.3
137	-0.511119	15.115627	5.014667	0.011183	2.4
138	-0.513981	14.163614	5.150433	0.005735	3.2
139	-0.545270	15.162891	5.008113	0.007740	3.0
140	-0.545885	14.345473	5.123933	0.008342	2.6
141	-0.528157	13.393458	5.265764	0.009387	2.3
142	-0.519774	12.441443	5.415671	0.006382	2.5
143	-0.544538	11.489525	5.574346	0.010135	2.8
144	-0.510848	10.559900	5.738543	0.006053	3.3
145	-0.516960	9.664201	5.906165	0.007844	2.5
146	-0.550544	10.595847	5.732014	0.009477	2.4
147	-0.508436	11.595847	5.556163	0.009563	2.6
148	-0.525675	10.643842	5.723320	0.010380	2.6
149	-0.507502	9.915686	5.858121	0.011404	2.6
150	-0.560908	10.915686	5.674571	0.011020	3.3
151	-0.495954	9.984914	5.845033	0.007530	2.5
152	-0.531207	10.975263	5.663998	0.005682	2.6
153	-0.533499	11.882709	5.507692	0.009316	2.4
154	-0.511536	10.931250	5.671806	0.007228	2.6
155	-0.520145	11.931248	5.499574	0.008127	2.9
156	-0.545330	10.982735	5.662675	0.008802	3.4
157	-0.510874	11.981633	5.491173	0.008570	3.1
158	-0.504073	11.033487	5.653704	0.008852	2.9
159	-0.503176	10.456277	5.757447	0.009313	2.9
160	-0.539274	11.363502	5.596052	0.010929	2.7
161	-0.517934	10.411487	5.765656	0.007655	3.8
162	-0.530312	11.402497	5.589317	0.011424	2.8
163	-0.473616	10.560024	5.738520	0.007746	2.6
164	-0.500491	11.477730	5.576370	0.012712	2.7
165	-0.500677	10.525734	5.744762	0.010683	2.6
166	-0.522310	11.525734	5.568140	0.017364	3.5
167	-0.518463	10.573719	5.736031	0.013036	2.6
168	-0.508150	11.573719	5.559937	0.011182	2.6
169	-0.531065	10.621704	5.727327	0.007617	2.5
170	-0.545381	11.270597	5.612163	0.012670	2.3
171	-0.518890	12.269802	5.443610	0.008938	2.3
172	-0.549035	13.261184	5.286094	0.012528	3.2
173	-0.542382	12.312065	5.436704	0.008672	2.9
174	-0.550220	11.473853	5.577036	0.006858	2.3
175	-0.512512	10.523850	5.745105	0.013998	2.3
176	-0.512717	9.571835	5.924010	0.011664	2.6
177	-0.549631	10.460048	5.756757	0.016523	2.4
178	-0.496715	9.508033	5.936399	0.010642	3.7
179	-0.510001	10.502112	5.749070	0.009023	3.0
180	-0.536059	11.502112	5.572187	0.008872	2.6
181	-0.503842	10.551440	5.740082	0.009637	2.5
182	-0.553523	9.599438	5.918666	0.011844	2.5
183	-0.543567	8.647423	6.108721	0.011442	2.6
184	-0.519088	9.647422	5.909399	0.009854	3.4
185	-0.511898	8.695408	6.098850	0.009904	2.4
186	-0.519697	9.695408	5.900161	0.009300	2.3
187	-0.535423	8.798012	6.077850	0.010524	2.4
188	-0.546700	7.845998	6.278439	0.011049	2.6
189	-0.541103	8.765938	6.084399	0.009904	2.9
190	-0.521640	9.765938	5.886635	0.006674	3.6
191	-0.516983	10.275621	5.790703	0.007016	2.8
192	-0.528287	11.274493	5.611485	0.009519	2.6
193	-0.514549	12.269155	5.443716	0.008557	2.5
194	-0.535902	13.269155	5.284864	0.007846	2.6
195	-0.498957	14.269155	5.135021	0.013003	2.9
196	-0.534265	14.550259	5.094417	0.009967	2.9
197	-0.533515	14.647530	5.080516	0.006936	2.7
198	-0.506918	15.647513	4.941886	0.010905	2.6
199	-0.554695	16.647509	4.810620	0.018706	2.6
200	-0.536510	17.647509	4.686145	0.014759	2.5
201	-0.536309	16.695494	4.804496	0.007189	2.6
202	-0.506711	17.693970	4.680518	0.008548	2.6
203	-0.513546	16.742127	4.798559	0.010395	2.6
204	-0.538349	17.741886	4.674730	0.014176	2.8
205	-0.510788	16.789871	4.792497	0.006480	2.7
206	-0.534873	17.789870	4.668947	0.011559	2.5
207	-0.569285	18.789870	4.551607	0.010128	2.8
208	-0.503355	17.837884	4.663175	0.007031	2.5
209	-0.514856	18.811725	4.549108	0.006684	2.3
210	-0.552796	19.655797	4.454662	0.011340	2.5
211	-0.534143	20.473452	4.366838	0.010576	2.7
212	-0.548809	19.521450	4.469431	0.005793	2.5
