1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.035030	627.201626	0.002148	1011.0
1	-1.086630	623.504937	0.008418	6.6
2	-0.000023	619.865785	0.000005	5.6
3	-0.983579	616.282728	0.009446	5.7
4	-1.319796	612.754375	0.021013	6.5
5	-1.257970	609.279381	0.014041	5.6
6	-0.586699	605.856447	0.010689	5.6
7	-0.013726	602.484317	0.001403	6.1
8	-1.251275	599.161779	0.006320	5.6
9	-0.119635	595.887656	0.001087	6.1
10	-1.045590	592.660813	0.013274	6.1
11	-1.062293	589.480151	0.013810	5.5
12	-1.368422	586.344606	0.014614	6.3
13	-1.239013	583.253145	0.012288	5.9
14	-0.512546	580.204771	0.003767	5.9
15	-0.665653	577.198517	0.016117	6.4
16	-1.187334	574.233444	0.015611	6.1
17	-0.101592	571.308645	0.001898	6.0
18	-0.545604	568.423237	0.013288	6.2
19	-0.838542	565.576365	0.009937	6.0
20	-0.872123	562.767201	0.008414	6.0
21	-0.850626	559.994938	0.015302	6.1
22	-0.797814	557.258797	0.011113	6.0
23	-0.000000	554.558018	0.000000	6.3
24	-0.000072	551.891865	0.000013	6.0
25	-1.088065	549.259621	0.011474	7.4
26	-0.314836	546.660592	0.009852	5.8
27	-0.648147	544.094102	0.004332	5.4
28	-0.000000	541.559494	0.000000	6.1
29	-0.070121	539.056129	0.001541	5.7
30	-1.302740	536.583387	0.017567	5.9
31	-1.335151	534.140663	0.009126	6.6
32	-0.925880	531.727370	0.013120	5.9
33	-0.462889	529.342935	0.003842	6.3
34	-0.000000	526.986802	0.000000	6.0
35	-0.602343	524.658430	0.005951	6.2
36	-0.022778	522.357290	0.000816	6.4
37	-1.311775	520.082868	0.011641	5.7
38	-0.789687	517.834665	0.009606	6.2
39	-1.016899	515.612193	0.025169	6.4
40	-1.290481	513.414976	0.013444	6.0
41	-1.189641	511.242551	0.018199	6.3
42	-0.716284	509.094468	0.008415	5.9
43	-1.170965	506.970285	0.016022	5.8
44	-1.132395	504.869574	0.019437	6.2
45	-0.000000	502.791916	0.000000	5.8
46	-0.100044	500.736903	0.001504	5.8
47	-0.660460	498.704137	0.006520	7.1
48	-0.000019	496.693228	0.000005	5.4
49	-1.234308	494.703798	0.019038	6.6
50	-0.797254	492.735476	0.005633	6.2
51	-0.000000	490.787900	0.000000	6.1
52	-0.982181	488.860718	0.009430	6.6
53	-0.881879	486.953585	0.009580	6.0
54	-1.012074	485.066164	0.011654	6.5
55	-0.015224	483.198126	0.001648	6.3
56	-1.605112	481.349149	0.005898	6.3
57	-1.247012	479.518920	0.010859	6.5
58	-0.154887	477.707132	0.003076	6.4
59	-0.728219	475.913485	0.006002	6.1
60	-0.065977	474.137684	0.001032	6.6
61	-1.185274	472.379445	0.017713	6.0
62	-0.157784	470.638485	0.003644	6.4
63	-1.443024	468.914531	0.016543	6.1
64	-0.983795	467.207315	0.011084	5.7
65	-0.000000	465.516573	0.000000	7.6
66	-1.415911	463.842050	0.015026	6.4
67	-0.774361	462.183494	0.013116	6.2
68	-0.697619	460.540658	0.005645	6.2
69	-1.406536	458.913303	0.011103	6.3
70	-0.406398	457.301192	0.005241	6.7
71	-1.107107	455.704096	0.010493	6.2
72	-0.700547	454.121787	0.011423	6.3
73	-1.062643	452.554045	0.010003	6.6
74	-0.336765	451.000653	0.002038	6.0
75	-1.201842	449.461399	0.007604	6.2
76	-1.216827	447.936075	0.023832	6.0
77	-0.453879	446.424477	0.013191	6.1
78	-0.379129	444.926406	0.007352	6.7
79	-0.427363	443.441666	0.009219	5.8
80	-0.000000	441.970065	0.000000	6.2
81	-0.000000	440.511415	0.000000	6.2
82	-1.552882	439.065533	0.011417	6.1
83	-0.787151	437.632238	0.005563	6.4
84	-1.243299	436.211351	0.014429	6.5
85	-0.000000	434.802701	0.000000	6.1
86	-0.784588	433.406117	0.014215	6.7
87	-1.226546	432.021430	0.006113	5.9
88	-1.040055	430.648479	0.007236	6.5
89	-0.000029	429.287101	0.000006	6.2
90	-0.369851	427.937140	0.006398	5.9
91	-0.094782	426.598440	0.004240	6.3
92	-1.395826	425.270849	0.005470	5.9
93	-0.032060	423.954220	0.001701	6.1
94	-0.363602	422.648404	0.017039	6.2
95	-1.141801	421.353259	0.011437	6.3
96	-0.511754	420.068643	0.004868	6.6
97	-0.429098	418.794419	0.004231	6.1
