1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.000000	627.201626	0.000000	991.4
1	-0.931807	623.504937	0.006586	32.4
2	-0.740883	619.865785	0.006080	30.7
3	-0.321047	616.282728	0.005981	31.3
4	-0.356342	612.754375	0.006328	31.3
5	-0.000000	609.279381	0.000000	31.3
6	-0.000000	605.856447	0.000000	31.5
7	-0.715246	602.484317	0.004675	32.3
8	-0.579447	599.161779	0.006283	31.8
9	-0.000000	595.887656	0.000000	32.2
10	-0.827257	592.660813	0.008244	32.0
11	-0.000000	589.480151	0.000000	31.2
12	-0.520675	586.344606	0.006230	32.5
13	-0.000000	583.253145	0.000000	32.7
14	-0.681524	580.204771	0.006961	33.3
15	-0.262779	577.198517	0.005235	32.4
16	-0.310730	574.233444	0.005435	32.5
17	-0.462673	571.308645	0.006089	32.3
18	-0.001441	568.423237	0.000046	33.4
19	-0.668060	565.576365	0.006136	32.5
20	-0.000000	562.767201	0.000000	32.5
21	-0.813341	559.994938	0.005596	36.2
22	-0.750898	557.258797	0.006031	58.5
23	-0.839849	554.558018	0.006285	38.2
24	-0.654700	551.891865	0.005531	33.3
25	-0.764341	549.259621	0.007651	32.7
26	-0.466865	546.660592	0.005546	33.1
27	-0.000000	544.094102	0.000000	33.9
28	-0.403271	541.559494	0.004961	32.7
29	-0.142898	539.056129	0.001639	31.6
30	-0.260307	536.583387	0.004069	33.1
31	-0.573672	534.140663	0.005971	31.9
32	-0.028728	531.727370	0.002228	31.8
33	-0.060078	529.342935	0.001454	33.3
34	-0.451562	526.986802	0.005792	32.1
35	-0.781204	524.658430	0.006208	32.1
36	-0.004719	522.357290	0.000094	32.0
37	-0.531391	520.082868	0.005455	36.2
38	-0.393032	517.834665	0.006879	32.8
39	-1.072204	515.612193	0.009290	33.4
40	-0.822152	513.414976	0.009901	33.8
41	-0.460728	511.242551	0.007304	32.9
42	-0.479361	509.094468	0.005778	34.5
43	-0.000227	506.970285	0.000071	32.7
44	-0.642322	504.869574	0.006180	35.0
45	-0.622278	502.791916	0.007231	35.1
46	-0.717289	500.736903	0.006709	34.6
47	-0.000000	498.704137	0.000000	34.4
48	-0.525809	496.693228	0.006462	33.9
49	-0.531858	494.703798	0.004757	35.5
50	-0.000000	492.735476	0.000000	33.3
51	-0.000025	490.787900	0.000026	32.2
52	-0.095908	488.860718	0.002879	32.3
53	-0.418872	486.953585	0.004961	32.0
54	-0.804198	485.066164	0.008585	32.4
55	-0.636948	483.198126	0.004626	34.1
56	-0.000000	481.349149	0.000000	32.8
57	-0.000000	479.518920	0.000000	32.5
58	-0.000000	477.707132	0.000000	33.8
59	-0.302932	475.913485	0.004250	32.8
60	-0.000000	474.137684	0.000000	32.4
61	-0.000007	472.379445	0.000010	32.5
