1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.105864	627.201626	0.003076	847.2
1	-0.690550	623.504937	0.023694	5.0
2	-0.000000	619.865785	0.000000	6.3
3	-0.573650	616.282728	0.017401	5.1
4	-0.000000	612.754375	0.000000	5.0
5	-0.009969	609.279381	0.000815	5.8
6	-0.883859	605.856447	0.009195	5.7
7	-0.768287	602.484317	0.012355	5.2
8	-0.265885	599.161779	0.002543	5.9
9	-0.000000	595.887656	0.000000	5.0
10	-0.466652	592.660813	0.007927	5.5
11	-0.003409	589.480151	0.000541	5.9
12	-0.730597	586.344606	0.015050	5.4
13	-0.514470	583.253145	0.009228	5.3
14	-0.582664	580.204771	0.007766	5.9
15	-0.000000	577.198517	0.000000	5.2
16	-0.682962	574.233444	0.009553	5.3
17	-0.512392	571.308645	0.020943	5.5
18	-0.000013	568.423237	0.000005	5.3
19	-0.596884	565.576365	0.012797	5.6
20	-0.026115	562.767201	0.003153	6.3
21	-0.001627	559.994938	0.000274	5.6
22	-0.977768	557.258797	0.022609	5.8
23	-0.965690	554.558018	0.007277	5.6
24	-0.761281	551.891865	0.009366	5.3
25	-0.775390	549.259621	0.013287	5.8
26	-0.464386	546.660592	0.007664	6.5
27	-0.820119	544.094102	0.007149	7.0
28	-0.045855	541.559494	0.001075	7.0
29	-0.001840	539.056129	0.000177	5.3
30	-0.988101	536.583387	0.007555	5.7
31	-0.489111	534.140663	0.012025	6.0
32	-0.277747	531.727370	0.004797	5.5
33	-1.019990	529.342935	0.020073	6.2
34	-1.167450	526.986802	0.010334	6.0
35	-1.014574	524.658430	0.007963	5.6
36	-0.315253	522.357290	0.013913	6.3
37	-0.503959	520.082868	0.015597	6.8
38	-0.705685	517.834665	0.015134	6.4
39	-0.000000	515.612193	0.000000	6.0
40	-0.914959	513.414976	0.010446	6.2
41	-0.791751	511.242551	0.014299	5.9
42	-1.099998	509.094468	0.020427	5.9
43	-0.834275	506.970285	0.033465	5.7
44	-0.096404	504.869574	0.004439	6.5
45	-0.896184	502.791916	0.006426	6.1
46	-0.020182	500.736903	0.002849	6.2
47	-0.940455	498.704137	0.012372	6.4
48	-0.567550	496.693228	0.013487	5.6
49	-0.645181	494.703798	0.004386	6.3
50	-0.000000	492.735476	0.000000	5.7
51	-0.593428	490.787900	0.007284	6.1
52	-0.665340	488.860718	0.012570	6.3
53	-1.130364	486.953585	0.012892	5.9
54	-0.472501	485.066164	0.014111	5.9
55	-0.433100	483.198126	0.007499	6.0
56	-0.670244	481.349149	0.009035	5.9
57	-0.773322	479.518920	0.010130	5.9
58	-0.349208	477.707132	0.004225	5.9
59	-0.815786	475.913485	0.009160	6.1
60	-0.000099	474.137684	0.000041	6.3
61	-1.073042	472.379445	0.008627	6.4
62	-0.000000	470.638485	0.000000	6.0
63	-0.876924	468.914531	0.017723	6.3
64	-1.106728	467.207315	0.021521	5.8
65	-0.319643	465.516573	0.011402	5.8
66	-0.000000	463.842050	0.000000	6.3
67	-0.476939	462.183494	0.004278	5.8
68	-1.097344	460.540658	0.015353	5.9
69	-0.000000	458.913303	0.000000	6.0
70	-0.807814	457.301192	0.017968	5.7
71	-0.612522	455.704096	0.012094	5.9
72	-0.782990	454.121787	0.005711	6.1
73	-0.000154	452.554045	0.000057	6.1
74	-0.000000	451.000653	0.000000	6.7
75	-0.929861	449.461399	0.010600	5.6
76	-0.000000	447.936075	0.000000	6.1
77	-0.403249	446.424477	0.005938	6.4
78	-0.000000	444.926406	0.000000	6.4
79	-0.264301	443.441666	0.008309	6.7
80	-0.816287	441.970065	0.017608	5.8
81	-0.277193	440.511415	0.005299	5.8
82	-0.753013	439.065533	0.012541	6.2
83	-0.000000	437.632238	0.000000	5.5
84	-0.753736	436.211351	0.009267	6.5
85	-0.279927	434.802701	0.006456	5.9
86	-0.268010	433.406117	0.011415	5.7
87	-0.484199	432.021430	0.008199	6.5
88	-0.549376	430.648479	0.007461	5.8
89	-0.000000	429.287101	0.000000	6.0
90	-0.431888	427.937140	0.012031	6.5
91	-0.993507	426.598440	0.008282	5.9
92	-0.751315	425.270849	0.008866	6.4
93	-1.103841	423.954220	0.013458	6.3
94	-0.683959	422.648404	0.006472	6.0
95	-0.815824	421.353259	0.015736	6.4
96	-0.594318	420.068643	0.003539	6.2
97	-0.454180	418.794419	0.008252	5.7
98	-0.098255	417.530451	0.001638	5.9
99	-0.000000	416.276604	0.000000	5.7
100	-0.980420	415.032748	0.019991	5.6
101	-0.810456	413.798754	0.005613	6.6
102	-0.647511	412.574495	0.004097	5.9
103	-0.871066	411.359849	0.015772	6.0
104	-0.671359	410.154691	0.009629	6.0
105	-1.017442	408.958904	0.015221	5.8
106	-0.541350	407.772368	0.017601	5.9
107	-0.772848	406.594968	0.034674	6.2
108	-0.271854	405.426590	0.005749	5.9
109	-0.895896	404.267122	0.016695	6.4
110	-0.000000	403.116456	0.000000	5.6
111	-0.000000	401.974481	0.000000	5.9
112	-0.402828	400.841093	0.003575	6.5
113	-0.442869	399.716187	0.006736	5.8
114	-1.043858	398.599660	0.013935	6.6
115	-0.588576	397.491411	0.004446	6.1
116	-0.348824	396.391342	0.007315	5.8
117	-0.000000	395.299353	0.000000	6.1
118	-0.853219	394.215350	0.009175	5.8
119	-1.010316	393.139238	0.012861	5.8
120	-0.426271	392.070924	0.008452	6.5
121	-0.000000	391.010316	0.000000	6.0
122	-0.426480	389.957325	0.010524	6.0
123	-0.000000	388.911862	0.000000	6.3
124	-1.113684	387.873839	0.009987	5.9
125	-0.668039	386.843173	0.009873	6.6
126	-0.462463	385.819777	0.015279	5.9
127	-0.700611	384.803569	0.015563	5.9
128	-0.753824	383.794468	0.010198	6.5
129	-0.841167	382.792393	0.019908	5.6
130	-0.058675	381.797264	0.003528	6.2
131	-0.818029	380.809005	0.009652	7.1
132	-0.000000	379.827537	0.000000	5.8
133	-0.877901	378.852786	0.020776	6.5
134	-0.777695	377.884678	0.004643	5.8
135	-0.208092	376.923138	0.003431	6.0
136	-0.459423	375.968095	0.004292	6.1
