1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.568351	0.000000	15.734609	0.009385	352.1
1	-0.538319	0.000000	15.734609	0.012868	2.6
2	-0.557206	0.000000	15.734609	0.009961	2.6
3	-0.526121	0.000000	15.734609	0.011006	2.8
4	-0.548014	0.000000	15.734609	0.010917	3.3
5	-0.545499	0.999989	15.019407	0.005277	3.1
6	-0.548683	1.999746	14.366541	0.012947	2.7
7	-0.539737	2.973196	13.783177	0.014802	2.6
8	-0.532719	2.150083	14.273244	0.013751	2.6
9	-0.566272	3.150083	13.682222	0.012898	3.4
10	-0.497137	4.150083	13.138199	0.009850	2.5
11	-0.530774	3.328893	13.581661	0.014187	2.6
12	-0.545878	2.505780	14.057257	0.011668	2.6
13	-0.585596	1.682667	14.567369	0.012124	2.4
14	-0.531385	2.682667	13.952263	0.014182	2.6
15	-0.544002	1.859554	14.454647	0.012199	3.1
16	-0.502841	1.036498	14.994524	0.010670	2.6
17	-0.548577	0.213615	15.576166	0.014551	2.3
18	-0.553743	1.213615	14.874967	0.009908	2.7
19	-0.570641	2.213615	14.234181	0.011186	2.6
20	-0.549820	1.390519	14.757442	0.014236	2.8
21	-0.517791	0.567406	15.320655	0.012012	2.8
22	-0.526134	1.567404	14.641772	0.008454	2.4
23	-0.572336	2.303450	14.179308	0.009996	2.3
24	-0.583811	1.481136	14.697958	0.012386	2.9
25	-0.539517	2.481136	14.072010	0.011973	3.0
26	-0.547102	3.481136	13.497200	0.009431	2.9
27	-0.569204	4.461577	12.977467	0.011251	3.1
28	-0.544527	5.298157	12.564637	0.011286	2.5
29	-0.562157	6.298027	12.104420	0.011216	2.5
30	-0.551687	7.297998	11.676684	0.008201	2.6
31	-0.527660	8.297998	11.278135	0.006334	2.8
32	-0.523442	7.475671	11.603828	0.016409	3.1
33	-0.584045	6.652559	11.949230	0.007673	3.1
34	-0.561322	5.831362	12.314946	0.007812	2.6
35	-0.566788	6.831330	11.872476	0.011979	2.6
36	-0.528482	6.008248	12.234292	0.010987	2.5
37	-0.563468	7.008248	11.797482	0.008414	2.9
38	-0.529641	6.185137	12.154685	0.011124	3.4
39	-0.523473	5.362082	12.534169	0.006009	3.2
40	-0.565490	4.769565	12.822366	0.012327	3.0
41	-0.539255	3.948724	13.244236	0.015469	2.4
42	-0.576831	3.125611	13.696100	0.008940	2.6
43	-0.547495	2.302567	14.179845	0.010894	2.8
44	-0.535936	1.479479	14.699042	0.011152	2.6
