1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
184	-0.561041	41.366688	6.377978	0.014707	2.7
185	-0.560472	40.603596	6.456982	0.019108	2.2
186	-0.553017	39.840505	6.537969	0.008081	2.1
187	-0.581934	39.077413	6.621013	0.012289	5.5
188	-0.568073	40.077389	6.512612	0.009018	2.8
189	-0.605366	40.984438	6.417310	0.013473	2.1
190	-0.592698	40.221614	6.497270	0.008101	2.4
191	-0.560256	41.203812	6.394678	0.008499	1.9
192	-0.568812	40.945157	6.421379	0.017481	2.8
193	-0.555963	41.945155	6.319364	0.012828	3.1
194	-0.593186	42.944936	6.220560	0.012902	3.1
195	-0.567181	42.181844	6.295690	0.010305	2.4
196	-0.581740	41.603581	6.353843	0.014018	2.0
197	-0.568420	42.603581	6.253946	0.012433	2.0
198	-0.545415	41.840489	6.329889	0.014773	3.8
199	-0.577763	41.077427	6.407697	0.014687	3.9
200	-0.568963	42.077427	6.306112	0.017763	2.7
201	-0.565921	41.314351	6.383334	0.012405	2.2
202	-0.562725	42.313858	6.282564	0.009554	2.1
203	-0.567783	41.551017	6.359183	0.013108	1.9
204	-0.550390	42.551010	6.259119	0.009355	2.4
205	-0.558075	43.550883	6.162167	0.016224	2.4
206	-0.576701	42.804697	6.234233	0.010674	2.0
207	-0.599863	42.240565	6.289845	0.011280	2.1
208	-0.574261	43.240145	6.191974	0.014434	1.9
209	-0.581813	44.240145	6.097064	0.007847	2.1
210	-0.609073	43.477202	6.169209	0.011874	2.0
211	-0.568024	42.714113	6.243096	0.016608	2.0
212	-0.580967	41.955176	6.318358	0.012993	2.4
213	-0.558077	42.955176	6.219564	0.010568	2.0
214	-0.588680	42.192084	6.294670	0.008223	1.7
215	-0.561354	42.823097	6.232435	0.015717	1.7
216	-0.572219	43.823097	6.136290	0.013353	1.8
217	-0.568275	44.109388	6.109308	0.013651	1.6
218	-0.537088	45.109379	6.016897	0.015640	1.6
219	-0.579758	44.719220	6.052618	0.026804	1.6
220	-0.569203	43.956128	6.123723	0.010254	2.1
221	-0.567993	44.956128	6.030878	0.012230	2.1
222	-0.554479	44.223010	6.098666	0.011806	2.2
223	-0.576965	45.130280	6.014995	0.015815	1.9
224	-0.553209	44.367188	6.085214	0.004617	1.7
225	-0.585182	45.366823	5.993557	0.015272	1.6
226	-0.591353	45.751596	5.959009	0.014506	1.6
227	-0.552150	44.988504	6.027919	0.017304	1.6
228	-0.550895	45.988504	5.937934	0.013315	1.7
229	-0.585047	46.988504	5.850597	0.013644	2.5
