1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.040854	627.201626	0.002279	618.6
1	-1.346729	623.504937	0.009629	4.5
2	-0.000028	619.865785	0.000005	3.8
3	-0.900750	616.282728	0.006877	4.0
4	-1.093229	612.754375	0.015247	4.1
5	-1.584503	609.279381	0.010038	4.6
6	-0.668688	605.856447	0.017293	3.7
7	-0.014059	602.484317	0.001115	3.7
8	-1.252464	599.161779	0.004254	3.9
9	-0.116421	595.887656	0.001997	4.9
10	-1.158289	592.660813	0.009955	4.0
11	-0.932151	589.480151	0.011176	3.5
12	-1.600064	586.344606	0.009091	4.0
13	-1.415556	583.253145	0.010812	4.3
14	-0.573909	580.204771	0.001946	3.5
15	-0.898745	577.198517	0.010533	3.4
16	-1.287155	574.233444	0.007274	3.9
17	-0.100590	571.308645	0.001590	4.6
18	-0.655409	568.423237	0.009847	3.5
19	-0.968245	565.576365	0.005395	3.8
20	-0.961542	562.767201	0.009989	3.4
21	-0.673070	559.994938	0.015628	3.9
22	-0.856039	557.258797	0.008422	3.9
23	-0.000000	554.558018	0.000000	3.5
24	-0.000134	551.891865	0.000020	3.8
25	-0.970434	549.259621	0.013530	3.8
26	-0.305270	546.660592	0.009273	3.8
27	-0.701113	544.094102	0.003893	3.4
28	0.000000	541.559494	0.000000	3.8
29	-0.076524	539.056129	0.000967	3.5
30	-1.402923	536.583387	0.017599	4.3
31	-1.405892	534.140663	0.008699	3.4
32	-0.972556	531.727370	0.012472	4.1
33	-0.464314	529.342935	0.003866	3.7
34	-0.000001	526.986802	0.000000	4.4
35	-0.818909	524.658430	0.006659	4.3
36	-0.013677	522.357290	0.001175	3.4
37	-1.131762	520.082868	0.011372	3.4
38	-0.703933	517.834665	0.014875	3.7
39	-1.216911	515.612193	0.020566	4.2
40	-1.392234	513.414976	0.015791	3.3
41	-1.087797	511.242551	0.016895	3.4
42	-0.745412	509.094468	0.009393	3.5
43	-1.314228	506.970285	0.012161	4.2
44	-0.954135	504.869574	0.018162	3.7
45	-0.000000	502.791916	0.000000	4.0
46	-0.097128	500.736903	0.001418	3.8
47	-0.621683	498.704137	0.010994	4.2
48	-0.000041	496.693228	0.000010	3.6
49	-1.447152	494.703798	0.012279	4.0
50	-0.895226	492.735476	0.006129	3.7
51	-0.000000	490.787900	0.000000	4.2
52	-1.123609	488.860718	0.008829	3.4
53	-0.848925	486.953585	0.014098	3.6
54	-1.277333	485.066164	0.018434	4.0
55	-0.013210	483.198126	0.001444	4.1
56	-1.651986	481.349149	0.005125	4.0
57	-1.288681	479.518920	0.011794	3.4
58	-0.148306	477.707132	0.001984	3.7
59	-0.776770	475.913485	0.004477	3.5
60	-0.055361	474.137684	0.002111	4.7
61	-1.320890	472.379445	0.012756	3.4
62	-0.158584	470.638485	0.003570	3.9
63	-1.544588	468.914531	0.011098	3.6
64	-1.082561	467.207315	0.012066	4.1
65	-0.000000	465.516573	0.000000	4.2
66	-1.619761	463.842050	0.007071	3.8
67	-0.931345	462.183494	0.007855	3.4
68	-0.699545	460.540658	0.011768	3.9
69	-1.248220	458.913303	0.012612	4.4
70	-0.588380	457.301192	0.006663	3.6
71	-0.889573	455.704096	0.008926	3.7
72	-1.202840	454.121787	0.027654	3.7
73	-1.026301	452.554045	0.010932	4.0
74	-0.318840	451.000653	0.003292	3.8
75	-1.276857	449.461399	0.013191	3.4
76	-1.361971	447.936075	0.015733	3.6
77	-0.375982	446.424477	0.013013	4.4
78	-0.468944	444.926406	0.003686	3.4
79	-0.421551	443.441666	0.005621	3.4
80	-0.000000	441.970065	0.000000	3.4
81	-0.000000	440.511415	0.000000	4.0
82	-1.644084	439.065533	0.012168	3.8
83	-1.019063	437.632238	0.011723	4.0
84	-1.182059	436.211351	0.010227	3.9
85	-0.000000	434.802701	0.000000	4.1
86	-0.621195	433.406117	0.010117	3.9
87	-0.941901	432.021430	0.011921	3.5
88	-0.982061	430.648479	0.008392	4.2
89	-0.000005	429.287101	0.000001	3.7
90	-0.551917	427.937140	0.013716	4.6
91	-0.101724	426.598440	0.003672	4.0
92	-1.416789	425.270849	0.010291	3.5
93	-0.029580	423.954220	0.001637	3.5
94	-0.413867	422.648404	0.015433	4.9
95	-1.077173	421.353259	0.007226	3.4
96	-0.496811	420.068643	0.004071	3.4
97	-0.468697	418.794419	0.007136	3.3
98	-1.268846	417.530451	0.011590	4.3
99	-0.524486	416.276604	0.005467	3.5
100	-0.957269	415.032748	0.004359	3.6
101	-1.097521	413.798754	0.011154	3.4
102	-1.042394	412.574495	0.013239	3.6
103	-1.178299	411.359849	0.011898	4.1
104	-0.006377	410.154691	0.000082	3.4
105	-1.071290	408.958904	0.017400	3.5
106	-1.059382	407.772368	0.012775	3.5
107	-1.170201	406.594968	0.009010	4.2
108	-1.359620	405.426590	0.006635	3.5
109	-1.217209	404.267122	0.018610	3.5
110	-1.302173	403.116456	0.007006	3.6
111	-1.272608	401.974481	0.012247	3.8
112	-0.255347	400.841093	0.005283	3.9
113	-0.276150	399.716187	0.002495	3.5
114	-1.306836	398.599660	0.010376	3.3
115	-0.639324	397.491411	0.005474	3.5
116	-0.000000	396.391342	0.000000	4.1
117	-1.132849	395.299353	0.011233	3.5
118	-0.637130	394.215350	0.006982	3.5
119	-0.101619	393.139238	0.003604	3.5
120	-0.229844	392.070924	0.002404	3.7
121	-0.359667	391.010316	0.003782	4.3
122	-1.296762	389.957325	0.014336	3.8
123	-0.797351	388.911862	0.007870	3.5
124	-0.003396	387.873839	0.000349	3.6
125	-1.525803	386.843173	0.010432	4.5
126	-1.471440	385.819777	0.015315	3.4
127	-0.000000	384.803569	0.000000	3.4
128	-0.525045	383.794468	0.003448	3.4
129	-0.000003	382.792393	0.000001	4.3
130	-0.452757	381.797264	0.006033	3.5
131	-0.304656	380.809005	0.003603	3.5
132	-0.000000	379.827537	0.000000	3.7
133	-0.998865	378.852786	0.003407	3.5
134	-0.290051	377.884678	0.005241	4.2
135	-0.533620	376.923138	0.007553	3.4
136	-1.092046	375.968095	0.020234	3.5
137	-0.356438	375.019479	0.002902	3.5
138	-0.615924	374.077218	0.009827	4.4
139	-1.124675	373.141244	0.007922	3.4
140	-0.401067	372.211489	0.004822	3.5
141	-1.052226	371.287887	0.020840	3.5
142	-0.732056	370.370370	0.008064	3.7
143	-0.906478	369.458876	0.017424	3.7
144	-1.295295	368.553338	0.006759	3.4
145	-0.001810	367.653696	0.000230	3.7
146	-1.268536	366.759885	0.005249	3.5
147	-0.001222	365.871846	0.000181	4.2
148	-0.019036	364.989518	0.001061	4.2
149	-1.116794	364.112841	0.011431	3.5
150	-1.440657	363.241757	0.011171	3.4
151	-0.695962	362.376208	0.006112	4.0
152	-1.198521	361.516137	0.009065	3.8
153	-0.000000	360.661488	0.000000	3.4
154	-0.841041	359.812206	0.019792	3.4
155	-0.013447	358.968236	0.000488	3.5
156	-0.997143	358.129524	0.027277	4.2
157	-0.612097	357.296018	0.007045	3.4
158	-0.000000	356.467665	0.000000	3.5
159	-1.475475	355.644414	0.017144	3.6
160	-1.279348	354.826213	0.007177	4.5
161	-1.505436	354.013012	0.005473	3.6
162	-0.648373	353.204763	0.007291	3.4
163	-0.127077	352.401415	0.003650	3.6
164	-0.848075	351.602922	0.011419	3.7
165	-0.131263	350.809235	0.002903	4.2
166	-1.264478	350.020308	0.013532	3.4
167	-0.823506	349.236095	0.004036	3.6
168	-0.000000	348.456550	0.000000	3.4
169	-0.185887	347.681627	0.005139	4.0
170	-1.318327	346.911283	0.011895	3.5
171	-0.000000	346.145474	0.000000	3.5
172	-1.291285	345.384157	0.022863	3.6
173	-0.556660	344.627288	0.009158	3.8
174	-1.174343	343.874826	0.019976	3.8
175	-1.326587	343.126729	0.019573	3.6
176	-0.000003	342.382957	0.000001	3.6
177	-0.561860	341.643469	0.010531	3.5
178	-1.339945	340.908224	0.011367	4.3
179	-0.436086	340.177184	0.003462	4.2
180	-1.227080	339.450309	0.013844	3.4
181	-1.496224	338.727561	0.016212	3.4
182	-0.740408	338.008902	0.007874	4.2
183	-0.005086	337.294295	0.000535	3.4
184	-0.811364	336.583703	0.012982	3.4
185	-0.296890	335.877089	0.003931	3.5
186	-0.263192	335.174416	0.003297	3.8
187	-1.365390	334.475651	0.011261	4.2
188	-0.000000	333.780756	0.000000	3.5
189	-1.100480	333.089698	0.009101	3.4
190	-1.364139	332.402443	0.005552	3.5
191	-0.801329	331.718955	0.003808	4.5
192	-0.000024	331.039203	0.000005	3.4
193	-0.652378	330.363153	0.013162	3.7
194	-1.195741	329.690771	0.009802	3.5
195	-0.706789	329.022027	0.006394	3.9
196	-0.069941	328.356888	0.000957	3.4
197	-0.006846	327.695322	0.000651	3.5
198	-0.047705	327.037299	0.001651	3.4
199	-1.195439	326.382787	0.008794	3.7
200	-0.843912	325.731758	0.006305	4.1
201	-0.459719	325.084179	0.004723	3.6
202	-1.125729	324.440023	0.010773	3.5
203	-0.118378	323.799258	0.002372	3.5
204	-0.905748	323.161858	0.008249	4.2
205	-1.333944	322.527792	0.013024	3.9
206	-0.003329	321.897034	0.000440	3.6
207	-0.000000	321.269554	0.000000	3.5
208	-0.001169	320.645325	0.000120	3.6
209	-0.851442	320.024320	0.009586	4.5
210	-0.204556	319.406512	0.004433	3.8
211	-1.375940	318.791875	0.004512	3.8
212	-1.092531	318.180381	0.006520	3.4
213	-0.696658	317.572005	0.005907	4.6
214	-0.198588	316.966721	0.003451	3.4
215	-1.339967	316.364504	0.014075	3.4
216	-0.369398	315.765329	0.003300	3.7
217	-0.000000	315.169170	0.000000	4.7
218	-0.000000	314.576003	0.000000	3.4
219	-1.305539	313.985804	0.012281	3.6
220	-1.312844	313.398548	0.006869	3.4
221	-1.327611	312.814213	0.008402	3.7
222	-0.007935	312.232773	0.000744	3.6
223	-0.000149	311.654207	0.000022	3.5
224	-1.285789	311.078491	0.011670	3.5
225	-0.018558	310.505602	0.001234	3.6
226	-0.000010	309.935518	0.000002	3.9
227	-1.482792	309.368217	0.010591	3.5
228	-0.919427	308.803676	0.016973	3.4
229	-1.546014	308.241874	0.008708	3.6
230	-0.358205	307.682789	0.007479	3.6
231	-1.553981	307.126400	0.008536	4.5
232	-0.290284	306.572687	0.005615	3.6
233	-1.210824	306.021627	0.013478	3.4
234	-0.573729	305.473201	0.009857	3.4
235	-0.528576	304.927388	0.004144	4.8
236	-0.593627	304.384168	0.012607	3.4
237	-0.000000	303.843521	0.000000	3.4
238	-0.000000	303.305427	0.000000	3.5
239	-0.172531	302.769867	0.003467	4.0
240	-1.011839	302.236821	0.014636	4.1
241	-0.015732	301.706270	0.000875	4.3
242	-1.268223	301.178196	0.013904	3.9
243	-0.714363	300.652580	0.008719	3.9
244	-1.177046	300.129402	0.009595	3.8
245	-0.494713	299.608645	0.007243	3.5
246	-0.914489	299.090291	0.010070	3.4
247	-1.472062	298.574321	0.013904	3.6
248	-1.140387	298.060718	0.009709	4.0
249	-0.773473	297.549465	0.006114	3.6
250	-0.095565	297.040543	0.002243	3.5
251	-0.236359	296.533936	0.006149	3.6
252	-0.995029	296.029626	0.006647	4.0
253	-0.473805	295.527597	0.015381	4.3
254	-0.666580	295.027832	0.008810	3.7
255	-0.000019	294.530315	0.000003	3.4
256	-1.334356	294.035028	0.007187	3.8
257	-0.203937	293.541956	0.002728	4.3
258	-0.055120	293.051083	0.001231	3.3
259	-0.889609	292.562393	0.007821	3.5
260	-0.000000	292.075870	0.000000	3.5
261	-1.051964	291.591498	0.010415	4.5
262	-1.272401	291.109263	0.014253	3.4
263	-0.952022	290.629149	0.011544	3.4
264	-1.130213	290.151140	0.011430	3.9
265	-1.274823	289.675222	0.010186	4.0
266	-1.390003	289.201380	0.021495	4.1
267	-0.031812	288.729600	0.001068	4.2
268	-0.639134	288.259866	0.010278	3.4
269	-0.648768	287.792165	0.007198	4.1
270	-0.640739	287.326481	0.009342	3.9
271	-0.815851	286.862802	0.018892	3.4
272	-0.355760	286.401113	0.002751	3.7
273	-0.366432	285.941400	0.017263	3.5
274	-1.019353	285.483649	0.004751	4.0
275	-0.739079	285.027847	0.007493	3.5
276	-0.128873	284.573981	0.001623	3.8
277	-1.502226	284.122037	0.008304	3.7
278	-0.922442	283.672002	0.010498	3.9
279	-0.421321	283.223863	0.002133	3.5
280	-1.457761	282.777607	0.008181	4.0
281	-0.038769	282.333221	0.001185	3.6
282	-0.005128	281.890692	0.000232	4.0
283	-1.229579	281.450008	0.008022	4.0
284	-1.339674	281.011157	0.010432	3.9
285	-1.569535	280.574125	0.006367	3.4
286	-0.460342	280.138901	0.015956	3.5
287	-0.000251	279.705473	0.000031	4.5
288	-0.617370	279.273829	0.020987	3.4
289	-1.104033	278.843956	0.011048	3.7
290	-0.000000	278.415844	0.000000	3.8
291	-0.576794	277.989479	0.007366	4.5
292	-0.645558	277.564851	0.006826	3.3
293	-1.170095	277.141949	0.010734	4.1
294	-1.618377	276.720761	0.010583	3.6
295	-0.101257	276.301275	0.003084	4.3
296	-0.877606	275.883480	0.012205	4.3
297	-0.819559	275.467366	0.003730	3.5
298	-0.873330	275.052922	0.013451	3.5
299	-0.688401	274.640136	0.004148	4.1
300	-0.869078	274.228998	0.012154	3.6
301	-1.166689	273.819497	0.022624	3.8
302	-1.052676	273.411623	0.006583	3.8
303	-1.265625	273.005365	0.010110	3.7
304	-0.051076	272.600712	0.001370	4.2
305	-1.038028	272.197655	0.016222	3.5
306	-1.523232	271.796184	0.008925	3.6
307	-1.385374	271.396287	0.006959	3.5
308	-0.062321	270.997956	0.001558	4.2
309	-1.206382	270.601180	0.005889	3.7
310	-0.000001	270.205949	0.000000	3.6
311	-0.086616	269.812254	0.002681	3.7
312	-0.343725	269.420085	0.009138	4.0
313	-0.219004	269.029432	0.001293	3.9
314	-0.655664	268.640287	0.005614	3.4
315	-1.037789	268.252638	0.014373	3.9
316	-1.022166	267.866478	0.010846	3.6
317	-1.217818	267.481796	0.012533	4.4
318	-1.408741	267.098584	0.012220	3.4
319	-1.176871	266.716833	0.009898	3.4
320	-0.003150	266.336533	0.000433	3.9
321	-0.838879	265.957676	0.006640	4.4
322	-0.000000	265.580253	0.000000	4.0
323	-0.333078	265.204254	0.006988	3.7
324	-0.000000	264.829672	0.000000	3.6
325	-0.615769	264.456497	0.007328	4.2
326	-0.000003	264.084721	0.000001	3.5
327	-1.346373	263.714335	0.013989	3.8
328	-0.471986	263.345332	0.002993	3.5
329	-0.957485	262.977702	0.008883	4.0
330	-0.002655	262.611438	0.000329	4.2
331	-0.718202	262.246531	0.004012	3.5
332	-1.132465	261.882973	0.010184	3.9
333	-0.835222	261.520756	0.004480	3.4
334	-0.000104	261.159871	0.000019	4.2
335	-0.360225	260.800312	0.007730	4.0
336	-0.578921	260.442070	0.017283	3.5
337	-0.945223	260.085137	0.008281	3.8
338	-1.391724	259.729505	0.013308	4.0
339	-0.975363	259.375167	0.009089	3.8
340	-1.103882	259.022116	0.012418	3.6
341	-0.863063	258.670343	0.022461	3.7
342	-0.000000	258.319841	0.000000	4.0
343	-1.478743	257.970602	0.012695	3.6
344	-0.000045	257.622620	0.000008	3.9
345	-0.979734	257.275887	0.014661	3.5
346	-1.259625	256.930396	0.008501	3.5
347	-1.296418	256.586139	0.014943	4.8
348	-0.000000	256.243109	0.000000	3.5
349	-1.527426	255.901300	0.007400	3.4
350	-1.007005	255.560703	0.027755	3.9
351	-1.491176	255.221313	0.009559	4.3
352	-0.529499	254.883122	0.007576	4.3
353	-1.043503	254.546124	0.017873	3.5
354	-1.338097	254.210311	0.014479	3.5
355	-0.008943	253.875677	0.000594	4.7
356	-0.207347	253.542215	0.003194	3.8
357	-1.384661	253.209918	0.005316	3.8
358	-0.782226	252.878781	0.021404	3.5
359	-0.000000	252.548795	0.000000	4.0
360	-0.811073	252.219956	0.005277	3.8
361	-0.695405	251.892255	0.006229	3.4
362	-0.001717	251.565688	0.000252	3.4
363	-1.176110	251.240247	0.015578	4.4
364	-0.328555	250.915926	0.008175	4.4
365	-0.621372	250.592720	0.006772	3.4
366	-0.131972	250.270621	0.004166	3.6
367	-1.263995	249.949624	0.015850	3.6
368	-0.581148	249.629723	0.009437	4.2
369	-1.315727	249.310911	0.012388	3.4
370	-0.000199	248.993182	0.000039	4.0
371	-0.540231	248.676531	0.011602	3.5
372	-0.000000	248.360952	0.000000	4.7
373	-0.995269	248.046438	0.012384	3.4
374	-1.444127	247.732984	0.008751	3.5
375	-1.334005	247.420584	0.014541	3.9
376	-0.725260	247.109233	0.006375	4.3
377	-0.000000	246.798924	0.000000	4.2
378	-1.146571	246.489652	0.009281	3.7
379	-0.000052	246.181412	0.000010	3.4
380	-0.383638	245.874197	0.014863	4.3
381	-1.358051	245.568002	0.009241	4.0
382	-1.659978	245.262822	0.009695	3.9
383	-0.145411	244.958652	0.002659	3.5
384	-1.396053	244.655485	0.010601	4.0
385	-0.610113	244.353317	0.008512	4.4
386	-0.000001	244.052142	0.000000	3.8
387	-0.247585	243.751955	0.006931	3.5
388	-0.012917	243.452750	0.000771	3.5
389	-0.000000	243.154523	0.000000	4.6
390	-0.706395	242.857268	0.008158	3.5
391	-1.357922	242.560980	0.018181	3.7
392	-0.926540	242.265654	0.015668	3.5
393	-0.001696	241.971285	0.000264	4.5
394	-1.319920	241.677868	0.006251	3.6
395	-1.220020	241.385397	0.008340	3.7
396	-1.042594	241.093869	0.008898	3.7
397	-0.000000	240.803278	0.000000	3.8
398	-1.273541	240.513619	0.007633	4.2
399	-0.011589	240.224887	0.000882	3.8
400	-0.136681	239.937077	0.002314	3.7
401	-0.012029	239.650186	0.000476	3.8
402	-0.000000	239.364207	0.000000	3.9
403	-0.329476	239.079136	0.006708	3.5
404	-1.650023	238.794969	0.012464	3.5
405	-1.366469	238.511701	0.010113	4.0
406	-0.517529	238.229327	0.022229	4.1
407	-0.000000	237.947843	0.000000	4.3
408	-0.180255	237.667244	0.004100	3.5
409	-1.358190	237.387526	0.008254	3.7
410	-1.171901	237.108684	0.011820	4.3
411	-0.000000	236.830714	0.000000	4.0
412	-1.564901	236.553610	0.007545	3.6
413	-0.367883	236.277370	0.017032	3.9
414	-1.055290	236.001989	0.009919	4.2
415	-1.538335	235.727461	0.008624	3.6
416	-1.063283	235.453784	0.009267	3.9
417	-0.738552	235.180952	0.004854	3.5
418	-0.488442	234.908962	0.008308	3.8
