1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.624758	0.000000	8.650174	0.026434	293.7
1	-0.598076	0.000000	8.650174	0.015759	2.4
2	-0.621195	0.000000	8.650174	0.016920	2.4
3	-0.588505	0.000000	8.650174	0.018562	2.3
4	-0.597296	0.999956	8.257001	0.014810	2.3
5	-0.600478	0.147910	8.589674	0.014365	2.6
6	-0.608558	0.713084	8.366092	0.013985	2.9
7	-0.598699	1.697008	8.003418	0.014418	2.5
8	-0.572188	0.851561	8.313074	0.010333	2.9
9	-0.614139	1.459980	8.087881	0.016576	2.3
10	-0.564007	1.228599	8.172069	0.012918	2.3
11	-0.577922	0.376554	8.497799	0.017897	2.4
12	-0.589953	0.000000	8.650174	0.015475	3.2
13	-0.645630	0.947687	8.276665	0.015857	2.4
14	-0.588783	0.099266	8.609477	0.011822	2.3
15	-0.593928	0.000000	8.650174	0.011752	2.3
16	-0.567606	0.000000	8.650174	0.014372	2.3
17	-0.604015	0.000000	8.650174	0.014455	2.3
18	-0.595147	0.000000	8.650174	0.010959	3.0
19	-0.612352	0.985607	8.262390	0.011205	2.8
20	-0.607189	0.979653	8.264628	0.013240	2.8
21	-0.590548	1.815249	7.961940	0.015702	3.1
22	-0.588691	0.963666	8.270644	0.019600	2.5
23	-0.633527	0.837751	8.318332	0.016362	2.3
24	-0.632854	0.000000	8.650174	0.012369	3.4
25	-0.583473	0.000000	8.650174	0.017330	2.7
26	-0.625664	0.999913	8.257017	0.013192	2.4
27	-0.621360	0.147881	8.589686	0.015796	2.3
28	-0.612885	0.000000	8.650174	0.021862	2.3
29	-0.648492	0.000000	8.650174	0.023334	2.3
30	-0.624268	0.999995	8.256986	0.024020	3.0
31	-0.610910	0.149239	8.589134	0.013859	2.5
32	-0.603097	1.149239	8.201350	0.013374	2.3
33	-0.641586	2.149239	7.847068	0.014737	2.3
34	-0.618362	3.119599	7.531371	0.015090	2.6
35	-0.607366	4.116714	7.232381	0.018356	2.7
36	-0.594221	3.265117	7.486205	0.015637	2.9
37	-0.633472	4.252044	7.193622	0.011235	2.6
38	-0.599738	3.401993	7.444214	0.018493	2.3
39	-0.598339	4.401609	7.151266	0.009347	2.2
40	-0.612688	3.551724	7.398815	0.009782	2.3
41	-0.597222	3.002217	7.568203	0.011521	2.3
42	-0.644171	3.912886	7.291554	0.009639	2.3
43	-0.610884	3.994384	7.267779	0.017654	3.0
44	-0.601636	4.919889	7.008273	0.014095	2.3
45	-0.607236	5.829718	6.770614	0.008110	2.2
46	-0.587328	6.685007	6.561445	0.013191	2.3
47	-0.603267	7.349478	6.407654	0.015098	2.2
48	-0.621258	6.505483	6.604271	0.011428	2.2
49	-0.591248	7.493519	6.375262	0.010688	2.2
50	-0.585268	7.714088	6.326290	0.011947	3.1
51	-0.598958	6.862117	6.519736	0.014012	2.2
52	-0.611238	7.707639	6.327711	0.014702	2.2
53	-0.619115	6.912869	6.507882	0.013891	2.2
54	-0.625145	6.074096	6.709500	0.010854	2.2
55	-0.583395	5.679540	6.808725	0.010257	2.3
56	-0.610928	6.518541	6.601137	0.011760	2.5
57	-0.591016	7.217383	6.437651	0.012790	2.6
58	-0.615976	8.215086	6.217803	0.014688	2.2
59	-0.549829	9.138318	6.027332	0.012926	2.4
60	-0.632188	10.126896	5.835906	0.017327	2.2
61	-0.597323	11.126889	5.654256	0.011311	2.5
62	-0.639576	11.562940	5.578540	0.012059	2.4
63	-0.590585	12.514285	5.420186	0.015196	3.5
64	-0.604730	13.514285	5.263144	0.017822	2.7
65	-0.634895	12.662267	5.396358	0.010298	2.5
66	-0.595110	12.278799	5.458540	0.013968	2.2
67	-0.598224	13.266799	5.301156	0.012432	2.2
68	-0.630396	12.414803	5.436323	0.018592	2.2
69	-0.627658	11.705114	5.554289	0.012969	2.9
70	-0.587530	10.853068	5.702862	0.013366	2.4
71	-0.595877	11.851986	5.529457	0.016769	2.2
72	-0.616858	11.013620	5.674262	0.010748	2.4
73	-0.618222	11.039987	5.669592	0.014092	2.3
74	-0.606452	11.977341	5.508438	0.009592	2.2
75	-0.610993	11.231114	5.635972	0.015080	2.2
76	-0.625292	12.228260	5.466842	0.017161	3.1
77	-0.594757	13.228257	5.307125	0.013898	2.4
78	-0.591643	14.228221	5.156481	0.009973	2.2
79	-0.589064	15.046012	5.039494	0.012825	2.2
80	-0.598581	15.678644	4.952573	0.011633	2.2
81	-0.605985	16.645560	4.825367	0.009253	2.2
82	-0.602424	15.793937	4.937054	0.017159	2.5
83	-0.612682	16.793728	4.806450	0.013671	2.7
84	-0.610120	16.230780	4.879126	0.016414	2.4
85	-0.608625	15.444078	4.984449	0.021703	2.5
86	-0.595180	14.592032	5.103773	0.014783	2.3
87	-0.621254	15.592032	4.964295	0.021200	2.2
88	-0.593231	14.739988	5.082645	0.009964	2.2
89	-0.606079	15.739004	4.944436	0.008976	3.2
90	-0.608463	15.668512	4.953941	0.014115	2.6
91	-0.591343	16.668452	4.822435	0.013781	2.6
92	-0.633448	15.817184	4.933937	0.014164	3.0
93	-0.653685	16.817160	4.803472	0.015512	2.2
94	-0.627059	15.965208	4.914179	0.015700	2.2
95	-0.599380	16.964610	4.784816	0.013497	3.3
96	-0.609121	16.113702	4.894517	0.017405	2.3
97	-0.596630	17.113689	4.766100	0.013424	2.2
98	-0.586645	18.078684	4.648408	0.012761	2.2
99	-0.595707	19.078684	4.532426	0.016917	2.2
100	-0.601879	19.328328	4.504369	0.006236	2.2
101	-0.599557	20.210410	4.407956	0.008574	2.4
102	-0.628216	19.723030	4.460711	0.013723	3.2
103	-0.589450	18.871562	4.555970	0.013009	2.2
104	-0.578833	18.430040	4.606986	0.014331	2.2
105	-0.615277	19.429923	4.493050	0.014385	2.2
106	-0.599493	20.389856	4.388845	0.007342	2.3
107	-0.620969	21.339992	4.290356	0.011152	2.2
108	-0.604393	21.092308	4.315602	0.016751	2.9
109	-0.601059	20.779364	4.347928	0.020123	2.8
110	-0.608999	21.779364	4.246292	0.019396	2.5
111	-0.627793	20.927318	4.332585	0.011033	2.2
112	-0.605854	20.710493	4.355107	0.016236	2.2
113	-0.612783	21.508296	4.273369	0.015169	2.2
114	-0.600755	20.656310	4.360772	0.010042	2.3
115	-0.598391	21.487620	4.275449	0.016485	2.7
116	-0.614232	22.369110	4.188549	0.014250	2.2
117	-0.625770	21.517315	4.272463	0.015958	2.3
118	-0.595072	22.517315	4.174284	0.014051	2.2
119	-0.604313	21.667262	4.257448	0.016095	2.2
120	-0.614190	20.818022	4.343908	0.016098	2.3
121	-0.593477	21.818013	4.242459	0.011597	2.7
122	-0.597773	20.965971	4.328594	0.007968	2.6
123	-0.623150	21.735261	4.250674	0.019277	2.3
124	-0.585172	20.886379	4.336819	0.014510	2.2
125	-0.605596	21.886379	4.235696	0.019362	2.2
126	-0.577462	21.034333	4.321554	0.015639	2.3
127	-0.600619	20.418290	4.385832	0.016596	2.3
128	-0.638717	20.763963	4.349531	0.025826	2.9
129	-0.585642	21.763963	4.247821	0.014036	2.3
130	-0.590717	20.911918	4.334177	0.010038	2.2
131	-0.582613	20.317658	4.396514	0.012860	2.2
132	-0.584620	19.491342	4.486234	0.012370	2.2
133	-0.607064	18.720588	4.573287	0.012069	2.3
134	-0.609592	18.742586	4.570756	0.015637	2.3
135	-0.598069	17.933035	4.665797	0.016244	3.3
136	-0.635156	17.080990	4.770193	0.019455	2.8
137	-0.603033	16.228944	4.879366	0.015556	2.5
138	-0.617881	17.225193	4.752197	0.016608	2.6
139	-0.624691	16.373423	4.860503	0.021001	2.5
140	-0.592777	17.373423	4.733840	0.013888	2.6
141	-0.595029	16.570020	4.835069	0.016649	3.3
142	-0.592222	15.717984	4.947266	0.014873	2.6
143	-0.618248	16.445872	4.851100	0.017036	2.5
144	-0.616784	17.445825	4.724925	0.011876	2.5
145	-0.604710	16.922924	4.790075	0.011556	2.5
146	-0.641127	16.956753	4.785806	0.009836	2.3
147	-0.604088	16.371629	4.860737	0.021076	3.2
148	-0.599830	15.562629	4.968287	0.006565	2.6
149	-0.594608	16.557693	4.836656	0.014153	2.4
150	-0.638285	17.263577	4.747430	0.017837	2.2
151	-0.603860	16.411542	4.855551	0.013855	2.2
152	-0.623184	17.377544	4.733332	0.007920	2.2
153	-0.625091	16.621813	4.828413	0.013008	2.8
154	-0.624903	15.808448	4.935108	0.013448	2.7
155	-0.608251	15.033150	5.041293	0.017090	2.4
156	-0.620675	16.031387	4.905397	0.009203	2.2
157	-0.585159	16.993869	4.781131	0.016147	2.2
158	-0.585146	17.962068	4.662321	0.011708	2.3
159	-0.602836	18.962064	4.545652	0.019467	2.3
160	-0.610425	18.170332	4.637532	0.013938	3.1
161	-0.607574	18.528780	4.595478	0.014416	2.5
162	-0.622589	19.527083	4.482278	0.016776	2.2
163	-0.539877	20.483799	4.378906	0.009471	2.2
164	-0.596867	21.483797	4.275834	0.008553	2.2
165	-0.614939	22.409305	4.184671	0.015947	2.2
166	-0.610578	23.369931	4.094071	0.011812	2.3
167	-0.597937	22.517885	4.174230	0.011583	2.8
168	-0.589087	21.764362	4.247781	0.017620	2.2
169	-0.649302	20.920893	4.333249	0.015994	2.2
170	-0.605223	20.822075	4.343487	0.018335	2.2
171	-0.590842	19.972792	4.433519	0.011757	2.2
172	-0.634050	19.120864	4.527661	0.014888	2.2
173	-0.632107	18.299802	4.622254	0.012872	2.6
174	-0.618667	17.627053	4.702757	0.019243	2.7
175	-0.590365	18.627053	4.584082	0.013025	2.4
176	-0.597019	17.791554	4.682815	0.013698	2.2
177	-0.638773	18.791164	4.565176	0.006576	2.2
178	-0.602351	18.116570	4.643906	0.014277	2.2
179	-0.580700	17.264786	4.747280	0.012292	2.2
180	-0.608440	18.263477	4.626530	0.013082	3.1
181	-0.595428	17.422805	4.727756	0.013469	2.3
182	-0.631213	18.420412	4.608111	0.007824	2.2
183	-0.611183	19.414675	4.494745	0.015619	2.2
184	-0.609049	20.404853	4.387255	0.009396	2.2
185	-0.596537	21.388792	4.285417	0.012892	2.5
186	-0.601628	20.537581	4.373236	0.016246	2.6
187	-0.622977	19.696095	4.463663	0.022922	3.1
188	-0.622472	20.693743	4.356856	0.019883	2.2
189	-0.625600	21.693743	4.254807	0.007928	2.3
190	-0.619394	22.591230	4.167206	0.012056	2.2
191	-0.618377	21.767276	4.247492	0.021082	2.3
192	-0.606366	20.915230	4.333834	0.011589	2.2
193	-0.606467	21.903527	4.234003	0.011472	2.9
194	-0.627860	22.367938	4.188662	0.010099	2.8
195	-0.607526	23.360763	4.094917	0.012377	2.5
196	-0.633614	24.293849	4.010559	0.019017	3.0
197	-0.609873	23.477409	4.084178	0.016328	2.5
198	-0.585140	24.477390	3.994373	0.014852	2.2
199	-0.638449	23.625366	4.070637	0.019827	2.8
200	-0.603615	22.968030	4.131494	0.010686	2.4
201	-0.599943	23.803010	4.054497	0.010314	2.3
202	-0.609722	23.360869	4.094907	0.014095	2.2
203	-0.597815	22.630607	4.163446	0.012585	2.2
204	-0.622688	23.533387	4.079044	0.011247	2.2
205	-0.593129	24.492846	3.993016	0.018502	2.3
206	-0.651391	23.640809	4.069229	0.014956	2.9
207	-0.641248	24.640807	3.980071	0.013393	2.4
208	-0.606185	24.036515	4.033475	0.009288	2.2
209	-0.611494	23.243523	4.105768	0.014723	2.2
