1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.084767	627.201626	0.004933	717.5
1	-0.730640	623.504937	0.021172	4.6
2	-0.000000	619.865785	0.000000	4.3
3	-0.783760	616.282728	0.013040	3.7
4	-0.000000	612.754375	0.000000	4.3
5	-0.014227	609.279381	0.001333	4.7
6	-0.946857	605.856447	0.007934	3.9
7	-0.858513	602.484317	0.012229	4.2
8	-0.282541	599.161779	0.001563	4.0
9	0.000000	595.887656	0.000000	4.9
10	-0.844284	592.660813	0.007473	4.9
11	-0.002701	589.480151	0.000466	3.9
12	-0.874424	586.344606	0.019605	4.5
13	-0.755379	583.253145	0.016612	4.2
14	-0.647091	580.204771	0.004917	4.3
15	-0.000000	577.198517	0.000000	4.0
16	-0.854411	574.233444	0.020128	4.9
17	-0.621141	571.308645	0.030052	4.2
18	-0.000003	568.423237	0.000002	4.6
19	-0.769768	565.576365	0.026850	4.7
20	-0.050222	562.767201	0.000868	4.9
21	-0.001924	559.994938	0.000417	4.1
22	-1.089107	557.258797	0.021883	4.1
23	-1.117479	554.558018	0.011013	5.1
24	-0.957655	551.891865	0.008596	4.4
25	-0.807193	549.259621	0.012417	4.2
26	-0.717321	546.660592	0.012388	4.7
27	-0.843988	544.094102	0.004033	5.0
28	-0.044840	541.559494	0.001407	4.2
29	-0.000608	539.056129	0.000127	4.6
30	-0.992320	536.583387	0.016699	5.2
31	-0.488460	534.140663	0.019865	4.8
32	-0.284347	531.727370	0.002254	4.4
33	-1.091616	529.342935	0.012771	4.4
34	-1.088584	526.986802	0.023360	5.4
35	-1.087439	524.658430	0.017723	5.3
36	-0.527980	522.357290	0.017255	4.8
37	-0.671697	520.082868	0.008091	5.3
38	-0.966098	517.834665	0.011784	4.4
39	-0.000000	515.612193	0.000000	4.9
40	-0.938893	513.414976	0.017578	5.4
41	-0.732663	511.242551	0.014565	4.6
42	-1.061310	509.094468	0.028525	4.3
43	-0.969261	506.970285	0.043109	5.2
44	-0.055981	504.869574	0.006726	4.9
45	-1.021098	502.791916	0.004992	5.1
46	-0.065308	500.736903	0.002810	4.6
47	-1.064376	498.704137	0.012961	5.9
48	-0.599096	496.693228	0.008881	4.4
49	-0.701535	494.703798	0.003635	4.9
50	-0.000000	492.735476	0.000000	5.7
51	-0.846359	490.787900	0.008264	4.7
52	-0.723826	488.860718	0.020659	4.9
53	-1.258832	486.953585	0.010988	4.9
54	-0.409493	485.066164	0.011529	5.7
55	-0.687292	483.198126	0.014994	5.2
56	-0.862422	481.349149	0.035405	5.0
57	-0.627051	479.518920	0.009698	4.8
58	-0.300979	477.707132	0.005603	4.5
59	-0.968512	475.913485	0.004695	5.6
60	-0.000014	474.137684	0.000007	5.3
61	-1.106102	472.379445	0.008946	4.5
62	0.000000	470.638485	0.000000	4.6
63	-0.875846	468.914531	0.020007	5.7
64	-1.002160	467.207315	0.035202	4.6
65	-0.556288	465.516573	0.008714	4.7
66	0.000000	463.842050	0.000000	5.4
67	-0.611905	462.183494	0.006531	4.9
68	-1.194873	460.540658	0.033149	4.6
69	-0.000193	458.913303	0.000018	5.1
70	-1.111327	457.301192	0.049506	5.3
71	-0.618840	455.704096	0.043382	4.9
72	-0.733308	454.121787	0.005753	4.8
73	-0.000338	452.554045	0.000089	5.6
74	0.000000	451.000653	0.000000	5.5
75	-0.867013	449.461399	0.020017	4.5
76	0.000000	447.936075	0.000000	5.5
77	-0.351991	446.424477	0.008446	4.8
78	-0.000000	444.926406	0.000000	4.7
79	-0.307944	443.441666	0.003697	5.3
80	-0.884000	441.970065	0.018269	5.0
81	-0.322731	440.511415	0.005143	4.9
82	-0.960190	439.065533	0.005582	5.4
83	-0.000000	437.632238	0.000000	5.2
84	-0.717174	436.211351	0.003390	4.8
85	-0.276453	434.802701	0.006091	5.2
