1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.078244	627.201626	0.003713	925.1
1	-0.761279	623.504937	0.011270	5.4
2	-0.000000	619.865785	0.000000	5.7
3	-0.621354	616.282728	0.011648	5.9
4	-0.000000	612.754375	0.000000	5.8
5	-0.017697	609.279381	0.001468	5.5
6	-1.021056	605.856447	0.009476	5.8
7	-0.742629	602.484317	0.009726	5.5
8	-0.267449	599.161779	0.001354	5.7
9	0.000000	595.887656	0.000000	5.6
10	-0.543585	592.660813	0.008644	5.6
11	-0.003436	589.480151	0.000974	5.8
12	-0.704106	586.344606	0.013428	6.4
13	-0.607392	583.253145	0.019035	6.2
14	-0.545416	580.204771	0.004671	6.7
15	-0.000000	577.198517	0.000000	5.7
16	-0.745295	574.233444	0.026569	5.6
17	-0.603916	571.308645	0.008239	6.2
18	-0.000009	568.423237	0.000004	5.8
19	-0.789702	565.576365	0.023855	6.5
20	-0.053017	562.767201	0.001060	6.7
21	-0.003519	559.994938	0.000306	8.9
22	-0.857321	557.258797	0.025573	6.5
23	-0.883814	554.558018	0.010071	5.8
24	-0.655502	551.891865	0.009350	7.3
25	-0.833802	549.259621	0.013604	5.6
26	-0.585478	546.660592	0.009568	5.2
27	-0.738889	544.094102	0.010063	6.1
28	-0.043330	541.559494	0.001220	5.2
29	-0.000757	539.056129	0.000113	5.8
30	-0.834893	536.583387	0.013301	7.3
31	-0.584127	534.140663	0.012393	5.8
32	-0.285993	531.727370	0.002065	6.5
33	-1.050689	529.342935	0.026370	5.9
34	-1.055055	526.986802	0.020879	5.7
35	-0.988502	524.658430	0.012004	6.4
36	-0.563556	522.357290	0.018232	6.0
37	-0.612583	520.082868	0.010837	5.7
38	-0.876410	517.834665	0.020937	6.1
39	-0.000000	515.612193	0.000000	5.6
40	-0.933983	513.414976	0.016693	6.6
41	-0.774417	511.242551	0.021235	5.7
42	-0.970992	509.094468	0.037305	5.7
43	-0.844808	506.970285	0.047843	6.5
44	-0.056340	504.869574	0.006703	5.9
45	-0.839598	502.791916	0.010068	6.4
46	-0.088222	500.736903	0.001761	6.4
47	-1.028994	498.704137	0.018001	5.3
48	-0.527244	496.693228	0.008534	6.0
49	-0.599545	494.703798	0.008812	5.5
50	-0.000000	492.735476	0.000000	5.8
51	-0.862011	490.787900	0.008390	6.1
52	-0.761031	488.860718	0.033458	6.2
53	-1.175727	486.953585	0.015528	5.3
54	-0.438414	485.066164	0.010041	6.7
55	-0.531460	483.198126	0.012501	5.7
56	-0.672381	481.349149	0.051204	6.2
57	-0.744349	479.518920	0.018071	5.8
58	-0.268739	477.707132	0.002502	6.4
59	-0.802264	475.913485	0.009530	6.9
60	-0.000037	474.137684	0.000016	5.6
61	-1.102507	472.379445	0.018949	5.7
62	-0.000000	470.638485	0.000000	6.8
63	-0.786760	468.914531	0.021882	5.8
64	-0.793981	467.207315	0.018415	6.8
65	-0.448355	465.516573	0.017860	8.4
66	0.000000	463.842050	0.000000	7.3
67	-0.542716	462.183494	0.007608	6.4
68	-0.964167	460.540658	0.025683	6.1
69	-0.000164	458.913303	0.000015	6.5
70	-0.855613	457.301192	0.027117	6.0
71	-0.633547	455.704096	0.031575	6.5
72	-0.743699	454.121787	0.006331	6.9
73	-0.000882	452.554045	0.000027	6.3
74	-0.000000	451.000653	0.000000	6.8
75	-0.843725	449.461399	0.013337	5.6
76	-0.000000	447.936075	0.000000	6.7
77	-0.349281	446.424477	0.007145	5.9
78	-0.000000	444.926406	0.000000	6.6
79	-0.281537	443.441666	0.003960	6.9
80	-0.749013	441.970065	0.012118	6.5
81	-0.281208	440.511415	0.003799	5.8
82	-0.957479	439.065533	0.007972	6.2
83	-0.000000	437.632238	0.000000	5.6
84	-0.770181	436.211351	0.007877	6.5
85	-0.275918	434.802701	0.006512	5.4
86	-0.353829	433.406117	0.003222	5.7
87	-0.562105	432.021430	0.010726	6.0
88	-0.814053	430.648479	0.008532	5.8
89	-0.000000	429.287101	0.000000	6.4
90	-0.625200	427.937140	0.017698	6.4
91	-1.045625	426.598440	0.009841	5.8
