1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.597791	0.000000	6.187988	0.016786	378.9
1	-0.579735	0.000000	6.187988	0.009311	3.9
2	-0.604412	0.999997	5.906717	0.020933	2.6
3	-0.577923	0.088179	6.162114	0.016451	2.7
4	-0.588087	1.087154	5.883409	0.007954	2.6
5	-0.595993	1.405284	5.799871	0.018547	2.4
6	-0.587960	0.671417	5.996274	0.018748	3.3
7	-0.577232	1.671416	5.731788	0.015919	2.8
8	-0.571587	2.671414	5.489649	0.009524	2.6
9	-0.612487	2.088000	5.628368	0.017260	2.6
10	-0.544457	1.162829	5.863320	0.010687	2.7
11	-0.593347	0.234087	6.119771	0.011365	2.6
12	-0.587677	0.000000	6.187988	0.012715	3.8
13	-0.634983	0.000000	6.187988	0.019850	2.8
14	-0.582007	0.976631	5.912997	0.012050	2.6
15	-0.564584	1.975772	5.655860	0.013756	2.6
16	-0.545956	1.046656	5.894216	0.016156	2.8
17	-0.609897	0.119989	6.152833	0.011675	3.0
18	-0.591065	0.000000	6.187988	0.018057	3.1
19	-0.613348	0.998642	5.907081	0.017572	2.6
20	-0.587222	1.998642	5.650236	0.016859	2.6
21	-0.570534	1.069338	5.888158	0.014277	2.4
22	-0.569283	0.140284	6.146926	0.014021	2.7
23	-0.614591	0.000000	6.187988	0.015653	3.4
24	-0.603606	0.000000	6.187988	0.021100	3.5
25	-0.566656	0.000000	6.187988	0.017519	3.3
26	-0.603897	0.999992	5.906718	0.008841	3.3
27	-0.597259	0.162232	6.140551	0.014362	2.6
28	-0.579748	0.000000	6.187988	0.011344	3.4
29	-0.616967	0.955505	5.918687	0.015520	2.5
30	-0.608063	0.373457	6.079866	0.016184	3.2
31	-0.596803	1.361589	5.811204	0.020885	3.1
32	-0.574530	0.432840	6.063021	0.015337	2.7
33	-0.629524	0.000000	6.187988	0.015077	2.7
34	-0.611086	0.000000	6.187988	0.014255	3.1
35	-0.606188	0.000000	6.187988	0.018095	2.8
36	-0.574823	0.000000	6.187988	0.013515	2.7
37	-0.604188	0.999817	5.906765	0.016774	2.7
38	-0.590999	0.070511	6.167281	0.019853	2.5
39	-0.594102	1.070511	5.887845	0.019081	3.9
40	-0.599923	0.141206	6.146658	0.018082	3.2
41	-0.579356	1.140508	5.869231	0.012507	3.1
42	-0.631830	1.808776	5.697270	0.015280	3.1
43	-0.585298	2.808749	5.457983	0.010592	2.8
44	-0.585315	3.808671	5.237997	0.014615	3.6
45	-0.567286	3.497234	5.304589	0.011030	2.6
46	-0.559228	2.600183	5.506218	0.011995	2.7
47	-0.593255	1.696055	5.725566	0.011723	2.7
48	-0.598682	2.696036	5.483945	0.013814	2.5
49	-0.587701	3.461201	5.312403	0.013624	2.6
50	-0.550546	2.655518	5.493338	0.007443	3.8
51	-0.566912	3.551603	5.292842	0.017016	2.6
52	-0.595521	4.549358	5.086146	0.016308	2.3
53	-0.588007	4.907775	5.015782	0.009900	2.6
54	-0.605027	5.873834	4.835475	0.015416	2.5
55	-0.575972	6.365012	4.748683	0.011063	2.5
56	-0.599293	7.365010	4.581270	0.011838	3.4
57	-0.577130	8.323378	4.431541	0.018383	2.9
58	-0.597803	9.323242	4.285418	0.015775	2.7
59	-0.539821	8.397237	4.420407	0.014092	2.3
60	-0.625179	7.476370	4.563354	0.008146	2.6
61	-0.559482	8.452671	4.412087	0.012415	2.9
62	-0.604659	9.425890	4.270960	0.010449	2.8
63	-0.580911	10.408544	4.137338	0.018699	2.6
64	-0.583812	11.030034	4.057060	0.015317	2.6
65	-0.621505	12.030026	3.934231	0.012321	2.5
66	-0.587556	13.030017	3.818622	0.009999	2.8
67	-0.588827	12.102213	3.925652	0.016969	2.8
68	-0.620698	12.284432	3.904160	0.016997	3.0
69	-0.597183	11.357239	4.016034	0.014133	2.6
70	-0.588838	12.357236	3.895639	0.009159	2.5
71	-0.580931	11.428470	4.007212	0.008697	2.3
72	-0.604332	11.005469	4.060174	0.013741	2.5
73	-0.599446	10.885658	4.075430	0.010609	2.8
74	-0.601498	10.023854	4.188640	0.016946	3.2
75	-0.588951	9.203150	4.302457	0.012293	2.4
76	-0.617389	8.273963	4.439022	0.010320	2.3
77	-0.574070	7.435879	4.569852	0.007772	2.5
78	-0.575801	6.763709	4.680490	0.016285	2.4
79	-0.585043	5.871454	4.835903	0.015359	2.8
80	-0.598098	4.942153	5.009135	0.012485	3.6
81	-0.581432	5.942079	4.823227	0.008883	3.6
82	-0.582095	5.012784	4.995534	0.016726	2.9
83	-0.569939	4.152668	5.166361	0.009258	3.0
84	-0.601290	5.147770	4.969745	0.013981	3.0
85	-0.582500	4.223436	5.151866	0.010981	3.8
86	-0.571565	3.869362	5.225215	0.014573	2.8
87	-0.607869	4.861399	5.024777	0.020171	3.0
