1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.728214	627.201626	0.010566	856.5
1	-1.037839	623.504937	0.012499	5.6
2	-1.116176	619.865785	0.019690	4.6
3	-0.810816	616.282728	0.019503	5.3
4	-0.000000	612.754375	0.000000	5.7
5	-0.378742	609.279381	0.010804	5.3
6	-0.731590	605.856447	0.009443	5.1
7	-0.000000	602.484317	0.000000	5.5
8	-0.000000	599.161779	0.000000	4.7
9	-0.699257	595.887656	0.021257	5.2
10	-0.000000	592.660813	0.000000	5.4
11	-0.598588	589.480151	0.007019	6.2
12	-0.724434	586.344606	0.018512	5.2
13	-0.256429	583.253145	0.004409	5.8
14	-0.000000	580.204771	0.000000	5.6
15	-0.757138	577.198517	0.016604	5.7
16	-0.957855	574.233444	0.030998	5.2
17	-0.985228	571.308645	0.027114	5.5
18	-0.913219	568.423237	0.028107	5.7
19	-0.414099	565.576365	0.013885	5.4
20	-0.000000	562.767201	0.000000	4.8
21	-0.903539	559.994938	0.011006	5.4
22	-0.487886	557.258797	0.008503	5.8
23	-0.041759	554.558018	0.000839	5.6
24	-1.058522	551.891865	0.016122	6.2
25	-0.874662	549.259621	0.023407	5.8
26	-0.653735	546.660592	0.040791	5.2
27	-0.640865	544.094102	0.013056	5.5
28	-0.541985	541.559494	0.006238	5.9
29	-0.375220	539.056129	0.008592	5.7
30	-0.000000	536.583387	0.000000	6.1
31	-0.648973	534.140663	0.010762	5.4
32	-0.000000	531.727370	0.000000	5.2
33	-0.101447	529.342935	0.003878	6.1
34	-1.015115	526.986802	0.013291	5.2
35	-0.255905	524.658430	0.003956	5.5
36	-0.221992	522.357290	0.002663	5.7
37	-0.000000	520.082868	0.000000	5.2
38	-0.009920	517.834665	0.000952	5.4
39	-0.886822	515.612193	0.029211	6.1
40	-0.721415	513.414976	0.017417	5.3
41	-0.299631	511.242551	0.010880	5.5
42	-1.022424	509.094468	0.010821	6.0
43	-0.731260	506.970285	0.018352	5.5
44	-0.000000	504.869574	0.000000	5.6
45	-0.472768	502.791916	0.012146	6.3
46	-0.292389	500.736903	0.002990	6.0
47	-0.905652	498.704137	0.035719	6.3
48	-0.154935	496.693228	0.004876	6.9
49	-0.000000	494.703798	0.000000	5.3
50	-0.000000	492.735476	0.000000	6.2
51	-0.000000	490.787900	0.000000	5.5
52	-0.491910	488.860718	0.029046	5.3
53	-0.316764	486.953585	0.010322	6.4
54	-0.891459	485.066164	0.009728	5.5
55	-0.225642	483.198126	0.002979	5.6
56	-0.935365	481.349149	0.012120	6.0
57	-0.217414	479.518920	0.004042	5.2
58	-0.699276	477.707132	0.026747	5.5
59	-0.497972	475.913485	0.006916	6.3
60	-1.069298	474.137684	0.017538	6.0
61	-0.629859	472.379445	0.012915	5.8
62	-0.000000	470.638485	0.000000	5.5
63	-0.276409	468.914531	0.006666	5.9
64	-0.596835	467.207315	0.007636	5.7
65	-0.950100	465.516573	0.027061	6.1
66	-0.000000	463.842050	0.000000	6.1
67	-0.897321	462.183494	0.009710	6.2
68	-0.740971	460.540658	0.010475	5.4
69	-0.564524	458.913303	0.013482	5.3
70	-0.519785	457.301192	0.004919	6.6
71	-0.284365	455.704096	0.004838	5.1
72	-0.000000	454.121787	0.000000	6.1
73	-1.092355	452.554045	0.012762	6.2
74	-0.655768	451.000653	0.011170	5.5
75	-0.795104	449.461399	0.012801	6.3
76	-0.000000	447.936075	0.000000	6.0
77	-0.844554	446.424477	0.022854	5.7
78	-0.020849	444.926406	0.001261	5.9
79	-0.571584	443.441666	0.008139	6.0
80	-0.772284	441.970065	0.009478	5.0
81	-0.632572	440.511415	0.018037	6.0
82	-0.498190	439.065533	0.034748	5.9
83	-0.461903	437.632238	0.011592	5.5
84	-0.477793	436.211351	0.004664	6.4
85	-0.000001	434.802701	0.000000	5.9
86	-0.786838	433.406117	0.011062	5.7
87	-0.085192	432.021430	0.003595	6.0
88	-0.001200	430.648479	0.000703	5.6
89	-0.000000	429.287101	0.000000	5.6
90	-0.916715	427.937140	0.008132	5.7
91	-0.184389	426.598440	0.005941	5.4
92	-0.490726	425.270849	0.017801	5.8
93	-0.104255	423.954220	0.001780	5.2
94	-0.673408	422.648404	0.009803	5.3
95	-0.063107	421.353259	0.002373	6.2
96	-0.052830	420.068643	0.002577	5.4
97	-0.029616	418.794419	0.000945	5.9
98	-0.000000	417.530451	0.000000	5.9
99	-0.515796	416.276604	0.008170	5.9
100	-0.879311	415.032748	0.015206	5.5
101	-0.995762	413.798754	0.018703	6.6
102	-0.000000	412.574495	0.000000	6.1
103	-0.655014	411.359849	0.018939	6.1
104	-0.993523	410.154691	0.030220	5.8
105	-0.554937	408.958904	0.009274	5.5
106	-0.564242	407.772368	0.008029	6.5
107	-0.585220	406.594968	0.008840	5.4
108	-0.880970	405.426590	0.009962	5.6
109	-0.000000	404.267122	0.000000	6.4
110	-0.547747	403.116456	0.007516	5.9
111	-1.101943	401.974481	0.011584	5.7
112	-0.000000	400.841093	0.000000	6.0
113	-0.991086	399.716187	0.014525	5.4
114	-0.069969	398.599660	0.001772	5.5
115	-0.000000	397.491411	0.000000	5.7
116	-0.000000	396.391342	0.000000	5.9
117	-0.224034	395.299353	0.005975	6.2
118	-0.838671	394.215350	0.010513	6.3
119	-0.128606	393.139238	0.003712	6.2
120	-0.901499	392.070924	0.014973	6.2
121	-0.808680	391.010316	0.011079	5.8
122	-0.000494	389.957325	0.000081	5.7
123	-0.960569	388.911862	0.026224	6.5
124	-0.398615	387.873839	0.007037	5.7
125	-0.881046	386.843173	0.010156	7.7
126	-0.000000	385.819777	0.000000	5.3
127	-0.927134	384.803569	0.015401	5.4
128	-0.849664	383.794468	0.016583	6.8
129	-0.709343	382.792393	0.005640	5.8
130	-1.110386	381.797264	0.034153	5.2
131	-0.228359	380.809005	0.006568	6.7
132	-0.873854	379.827537	0.009035	5.4
133	-0.007785	378.852786	0.000354	6.5
134	-1.018750	377.884678	0.038650	6.0
135	-0.498701	376.923138	0.010985	5.9
136	-0.695429	375.968095	0.007281	6.7
137	-0.532722	375.019479	0.008309	6.3
138	-0.720887	374.077218	0.011870	6.7
139	-0.679997	373.141244	0.010294	6.6
140	-0.099400	372.211489	0.004278	5.2
141	-0.899900	371.287887	0.010225	6.2
142	-0.610814	370.370370	0.011006	6.1
143	-0.370013	369.458876	0.006138	6.1
144	-0.000000	368.553338	0.000000	6.5
145	-1.020528	367.653696	0.021857	5.7
146	-0.878953	366.759885	0.026206	5.3
147	-0.573684	365.871846	0.011779	5.9
148	-0.000699	364.989518	0.000083	4.9
149	-0.346702	364.112841	0.023107	5.5
150	-0.000000	363.241757	0.000000	6.7
151	-0.393359	362.376208	0.008476	5.6
152	-0.024818	361.516137	0.001251	5.9
153	-0.396999	360.661488	0.009981	6.4
154	-0.626450	359.812206	0.008759	6.2
155	-0.105899	358.968236	0.001931	6.3
156	-0.535950	358.129524	0.011349	5.6
157	-0.480236	357.296018	0.009523	5.5
158	-0.000000	356.467665	0.000000	6.0
159	-0.703462	355.644414	0.011403	5.5
160	-0.922643	354.826213	0.012646	5.7
161	-0.971563	354.013012	0.025510	6.5
162	-0.000000	353.204763	0.000000	5.8
163	-0.706297	352.401415	0.009800	6.1
164	-0.000000	351.602922	0.000000	6.5
165	-0.000000	350.809235	0.000000	5.1
166	-0.341776	350.020308	0.006440	6.9
167	-0.961270	349.236095	0.006271	5.5
168	-0.690914	348.456550	0.015487	5.4
169	-0.000000	347.681627	0.000000	6.9
170	-0.760180	346.911283	0.026094	6.2
171	-0.738159	346.145474	0.011760	6.4
172	-0.343057	345.384157	0.005770	5.6
173	-1.165337	344.627288	0.032174	5.5
174	-0.949592	343.874826	0.018794	6.2
175	-0.002825	343.126729	0.000407	5.7
176	-0.985419	342.382957	0.011817	5.8
177	-0.000000	341.643469	0.000000	6.4
178	-0.167977	340.908224	0.003794	5.9
179	-0.510972	340.177184	0.009831	6.2
180	-0.680577	339.450309	0.009649	6.1
181	-0.000000	338.727561	0.000000	6.2
182	-0.076432	338.008902	0.001692	6.2
183	-0.787180	337.294295	0.006673	6.1
184	-0.610624	336.583703	0.012169	6.3
185	-0.944551	335.877089	0.010687	6.7
186	-0.329419	335.174416	0.005260	6.4
187	-0.965558	334.475651	0.041345	6.7
188	-0.768110	333.780756	0.010420	6.0
189	-0.000233	333.089698	0.000091	5.2
190	-0.000000	332.402443	0.000000	6.4
191	-0.831159	331.718955	0.017451	6.4
192	-0.666152	331.039203	0.009560	5.5
193	-0.769954	330.363153	0.007985	6.5
194	-0.381351	329.690771	0.004200	5.0
195	-0.000000	329.022027	0.000000	5.3
196	-1.016361	328.356888	0.028284	6.4
197	-0.000000	327.695322	0.000000	5.9
198	-0.509526	327.037299	0.014905	5.8
199	-0.000000	326.382787	0.000000	6.1
200	-0.303876	325.731758	0.008608	5.0
201	-0.000000	325.084179	0.000000	6.8
202	-1.153868	324.440023	0.021928	5.6
203	-0.882411	323.799258	0.024595	5.7
204	-0.971377	323.161858	0.012151	6.2
205	-0.000040	322.527792	0.000035	7.6
206	-0.523768	321.897034	0.003886	6.3
207	-0.018156	321.269554	0.001068	5.8
208	-0.466912	320.645325	0.006788	6.1
209	-0.060306	320.024320	0.001158	6.2
210	-0.334959	319.406512	0.007593	5.3
211	-0.782934	318.791875	0.013829	5.9
212	-1.051226	318.180381	0.025525	6.2
213	-0.000000	317.572005	0.000000	5.4
214	-0.683245	316.966721	0.009120	5.6
215	-0.000000	316.364504	0.000000	6.5
216	-0.000000	315.765329	0.000000	5.1
217	-0.000000	315.169170	0.000000	5.9
218	-0.971005	314.576003	0.015567	5.7
219	-0.975101	313.985804	0.021668	5.6
220	-0.945864	313.398548	0.011559	7.0
221	-0.000000	312.814213	0.000000	6.9
222	-0.621374	312.232773	0.007920	5.8
223	-0.974646	311.654207	0.015930	7.0
224	-0.473935	311.078491	0.009799	5.3
225	-0.000000	310.505602	0.000000	6.2
226	-0.000000	309.935518	0.000000	6.8
227	-0.785747	309.368217	0.012057	5.8
228	-0.898488	308.803676	0.014410	6.4
229	-0.000000	308.241874	0.000000	6.3
230	-0.412484	307.682789	0.008038	5.9
231	-0.123433	307.126400	0.003299	6.5
